"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.045701,1,0,0.01,0,5e-05
1.3174e-05,4.2638e-14,2.0572e-14,0.045701,1,1e-07,0.01,1e-07,5e-05
2.6349e-05,8.5276e-14,4.1144e-14,0.045701,1,2e-07,0.01,2e-07,5e-05
3.9523e-05,1.2791e-13,6.1715e-14,0.045701,1,3e-07,0.01,3e-07,5e-05
5.2698e-05,1.7055e-13,8.2287e-14,0.045701,1,4e-07,0.01,4e-07,5e-05
6.5872e-05,2.1319e-13,1.0286e-13,0.045701,1,5e-07,0.01,5e-07,5e-05
7.9047e-05,2.5583e-13,1.2343e-13,0.045701,1,6e-07,0.01,6e-07,5e-05
9.2221e-05,2.9846e-13,1.44e-13,0.045701,1,7e-07,0.01,7e-07,5e-05
0.0001054,3.411e-13,1.6457e-13,0.045701,1,8e-07,0.01,8e-07,5e-05
0.00011857,3.8374e-13,1.8515e-13,0.045701,1,9e-07,0.01,9e-07,5e-05
0.00013174,4.2638e-13,2.0572e-13,0.045701,1,1e-06,0.01,1e-06,5e-05
0.00014492,4.6902e-13,2.2629e-13,0.045701,1,1.1e-06,0.01,1.1e-06,5e-05
0.00015809,5.1165e-13,2.4686e-13,0.045701,1,1.2e-06,0.01,1.2e-06,5e-05
0.00017127,5.5429e-13,2.6743e-13,0.045701,1,1.3e-06,0.01,1.3e-06,5e-05
0.00018444,5.9693e-13,2.8801e-13,0.045701,1,1.4e-06,0.01,1.4e-06,5e-05
0.00019762,6.3957e-13,3.0858e-13,0.045701,1,1.5e-06,0.01,1.5e-06,5e-05
0.00021079,6.8221e-13,3.2915e-13,0.045701,1,1.6e-06,0.01,1.6e-06,5e-05
0.00022397,7.2484e-13,3.4972e-13,0.045701,1,1.7e-06,0.01,1.7e-06,5e-05
0.00023714,7.6748e-13,3.7029e-13,0.045701,1,1.8e-06,0.01,1.8e-06,5e-05
0.00025032,8.1012e-13,3.9086e-13,0.045701,1,1.9e-06,0.01,1.9e-06,5e-05
0.00026349,8.5276e-13,4.1144e-13,0.045701,1,2e-06,0.01,2e-06,5e-05
0.00027666,8.9539e-13,4.3201e-13,0.045701,1,2.1e-06,0.01,2.1e-06,5e-05
0.00028984,9.3803e-13,4.5258e-13,0.045701,1,2.2e-06,0.01,2.2e-06,5e-05
0.00030301,9.8067e-13,4.7315e-13,0.045701,1,2.3e-06,0.01,2.3e-06,5e-05
0.00031619,1.0233e-12,4.9372e-13,0.045701,1,2.4e-06,0.01,2.4e-06,5e-05
0.00032936,1.0659e-12,5.143e-13,0.045701,1,2.5e-06,0.01,2.5e-06,5e-05
0.00034254,1.1086e-12,5.3487e-13,0.045701,1,2.6e-06,0.01,2.6e-06,5e-05
0.00035571,1.1512e-12,5.5544e-13,0.045701,1,2.7e-06,0.01,2.7e-06,5e-05
0.00036889,1.1939e-12,5.7601e-13,0.045701,1,2.8e-06,0.01,2.8e-06,5e-05
0.00038206,1.2365e-12,5.9658e-13,0.045701,1,2.9e-06,0.01,2.9e-06,5e-05
0.00039523,1.2791e-12,6.1715e-13,0.045701,1,3e-06,0.01,3e-06,5e-05
0.00040841,1.3218e-12,6.3773e-13,0.045701,1,3.1e-06,0.01,3.1e-06,5e-05
0.00042158,1.3644e-12,6.583e-13,0.045701,1,3.2e-06,0.01,3.2e-06,5e-05
0.00043476,1.407e-12,6.7887e-13,0.045701,1,3.3e-06,0.01,3.3e-06,5e-05
0.00044793,1.4497e-12,6.9944e-13,0.045701,1,3.4e-06,0.01,3.4e-06,5e-05
0.00046111,1.4923e-12,7.2001e-13,0.045701,1,3.5e-06,0.01,3.5e-06,5e-05
0.00047428,1.535e-12,7.4059e-13,0.045701,1,3.6e-06,0.01,3.6e-06,5e-05
0.00048746,1.5776e-12,7.6116e-13,0.045701,1,3.7e-06,0.01,3.7e-06,5e-05
0.00050063,1.6202e-12,7.8173e-13,0.045701,1,3.8e-06,0.01,3.8e-06,5e-05
0.00051381,1.6629e-12,8.023e-13,0.045701,1,3.9e-06,0.01,3.9e-06,5e-05
0.00052698,1.7055e-12,8.2287e-13,0.045701,1,4e-06,0.01,4e-06,5e-05
0.00054015,1.7482e-12,8.4344e-13,0.045701,1,4.1e-06,0.01,4.1e-06,5e-05
0.00055333,1.7908e-12,8.6402e-13,0.045701,1,4.2e-06,0.01,4.2e-06,5e-05
0.0005665,1.8334e-12,8.8459e-13,0.045701,1,4.3e-06,0.01,4.3e-06,5e-05
0.00057968,1.8761e-12,9.0516e-13,0.045701,1,4.4e-06,0.01,4.4e-06,5e-05
0.00059285,1.9187e-12,9.2573e-13,0.045701,1,4.5e-06,0.01,4.5e-06,5e-05
0.00060603,1.9613e-12,9.463e-13,0.045701,1,4.6e-06,0.01,4.6e-06,5e-05
0.0006192,2.004e-12,9.6688e-13,0.045701,1,4.7e-06,0.01,4.7e-06,5e-05
0.00063238,2.0466e-12,9.8745e-13,0.045701,1,4.8e-06,0.01,4.8e-06,5e-05
0.00064555,2.0893e-12,1.008e-12,0.045701,1,4.9e-06,0.01,4.9e-06,5e-05
0.00065872,2.1319e-12,1.0286e-12,0.045701,1,5e-06,0.01,5e-06,5e-05
0.0006719,2.1745e-12,1.0492e-12,0.045701,1,5.1e-06,0.01,5.1e-06,5e-05
0.00068507,2.2172e-12,1.0697e-12,0.045701,1,5.2e-06,0.01,5.2e-06,5e-05
0.00069825,2.2598e-12,1.0903e-12,0.045701,1,5.3e-06,0.01,5.3e-06,5e-05
0.00071142,2.3024e-12,1.1109e-12,0.045701,1,5.4e-06,0.01,5.4e-06,5e-05
0.0007246,2.3451e-12,1.1314e-12,0.045701,1,5.5e-06,0.01,5.5e-06,5e-05
0.00073777,2.3877e-12,1.152e-12,0.045701,1,5.6e-06,0.01,5.6e-06,5e-05
0.00075095,2.4304e-12,1.1726e-12,0.045701,1,5.7e-06,0.01,5.7e-06,5e-05
0.00076412,2.473e-12,1.1932e-12,0.045701,1,5.8e-06,0.01,5.8e-06,5e-05
0.0007773,2.5156e-12,1.2137e-12,0.045701,1,5.9e-06,0.01,5.9e-06,5e-05
0.00079047,2.5583e-12,1.2343e-12,0.045701,1,6e-06,0.01,6e-06,5e-05
0.00080364,2.6009e-12,1.2549e-12,0.045701,1,6.1e-06,0.01,6.1e-06,5e-05
0.00081682,2.6435e-12,1.2755e-12,0.045701,1,6.2e-06,0.01,6.2e-06,5e-05
0.00082999,2.6862e-12,1.296e-12,0.045701,1,6.3e-06,0.01,6.3e-06,5e-05
0.00084317,2.7288e-12,1.3166e-12,0.045701,1,6.4e-06,0.01,6.4e-06,5e-05
0.00085634,2.7715e-12,1.3372e-12,0.045701,1,6.5e-06,0.01,6.5e-06,5e-05
0.00086952,2.8141e-12,1.3577e-12,0.045701,1,6.6e-06,0.01,6.6e-06,5e-05
0.00088269,2.8567e-12,1.3783e-12,0.045701,1,6.7e-06,0.01,6.7e-06,5e-05
0.00089587,2.8994e-12,1.3989e-12,0.045701,1,6.8e-06,0.01,6.8e-06,5e-05
0.00090904,2.942e-12,1.4195e-12,0.045701,1,6.9e-06,0.01,6.9e-06,5e-05
0.00092221,2.9846e-12,1.44e-12,0.045701,1,7e-06,0.01,7e-06,5e-05
0.00093539,3.0273e-12,1.4606e-12,0.045701,1,7.1e-06,0.01,7.1e-06,5e-05
0.00094856,3.0699e-12,1.4812e-12,0.045701,1,7.2e-06,0.01,7.2e-06,5e-05
