"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.44072,1,0,0.01,0,5e-05
0.00011615,2.5096e-12,1.2065e-12,0.44072,1,1e-07,0.01,1e-07,5e-05
0.0002323,5.0193e-12,2.4129e-12,0.44072,1,2e-07,0.01,2e-07,5e-05
0.00034845,7.5289e-12,3.6194e-12,0.44072,1,3e-07,0.01,3e-07,5e-05
0.0004646,1.0039e-11,4.8258e-12,0.44072,1,4e-07,0.01,4e-07,5e-05
0.00058075,1.2548e-11,6.0323e-12,0.44072,1,5e-07,0.01,5e-07,5e-05
0.0006969,1.5058e-11,7.2387e-12,0.44072,1,6e-07,0.01,6e-07,5e-05
0.00081305,1.7567e-11,8.4452e-12,0.44072,1,7e-07,0.01,7e-07,5e-05
0.0009292,2.0077e-11,9.6516e-12,0.44072,1,8e-07,0.01,8e-07,5e-05
0.0010454,2.2587e-11,1.0858e-11,0.44072,1,9e-07,0.01,9e-07,5e-05
0.0011615,2.5096e-11,1.2065e-11,0.44072,1,1e-06,0.01,1e-06,5e-05
0.0012777,2.7606e-11,1.3271e-11,0.44072,1,1.1e-06,0.01,1.1e-06,5e-05
0.0013938,3.0116e-11,1.4477e-11,0.44072,1,1.2e-06,0.01,1.2e-06,5e-05
0.00151,3.2625e-11,1.5684e-11,0.44072,1,1.3e-06,0.01,1.3e-06,5e-05
0.0016261,3.5135e-11,1.689e-11,0.44072,1,1.4e-06,0.01,1.4e-06,5e-05
0.0017423,3.7645e-11,1.8097e-11,0.44072,1,1.5e-06,0.01,1.5e-06,5e-05
0.0018584,4.0154e-11,1.9303e-11,0.44072,1,1.6e-06,0.01,1.6e-06,5e-05
0.0019746,4.2664e-11,2.051e-11,0.44072,1,1.7e-06,0.01,1.7e-06,5e-05
0.0020907,4.5174e-11,2.1716e-11,0.44072,1,1.8e-06,0.01,1.8e-06,5e-05
0.0022069,4.7683e-11,2.2923e-11,0.44072,1,1.9e-06,0.01,1.9e-06,5e-05
0.002323,5.0193e-11,2.4129e-11,0.44072,1,2e-06,0.01,2e-06,5e-05
0.0024392,5.2702e-11,2.5336e-11,0.44072,1,2.1e-06,0.01,2.1e-06,5e-05
0.0025553,5.5212e-11,2.6542e-11,0.44072,1,2.2e-06,0.01,2.2e-06,5e-05
0.0026715,5.7722e-11,2.7748e-11,0.44072,1,2.3e-06,0.01,2.3e-06,5e-05
0.0027876,6.0231e-11,2.8955e-11,0.44072,1,2.4e-06,0.01,2.4e-06,5e-05
0.0029038,6.2741e-11,3.0161e-11,0.44072,1,2.5e-06,0.01,2.5e-06,5e-05
0.0030199,6.5251e-11,3.1368e-11,0.44072,1,2.6e-06,0.01,2.6e-06,5e-05
0.0031361,6.776e-11,3.2574e-11,0.44072,1,2.7e-06,0.01,2.7e-06,5e-05
0.0032522,7.027e-11,3.3781e-11,0.44072,1,2.8e-06,0.01,2.8e-06,5e-05
0.0033684,7.278e-11,3.4987e-11,0.44072,1,2.9e-06,0.01,2.9e-06,5e-05
0.0034845,7.5289e-11,3.6194e-11,0.44072,1,3e-06,0.01,3e-06,5e-05
0.0036007,7.7799e-11,3.74e-11,0.44072,1,3.1e-06,0.01,3.1e-06,5e-05
