"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,46.525,1,0,0.01,0,5e-05
0.014062,-6.4036e-10,5.6143e-10,46.525,1,1e-07,0.01,1e-07,5e-05
0.028124,-1.2807e-09,1.1229e-09,46.525,1,2e-07,0.01,2e-07,5e-05
0.042186,-1.9211e-09,1.6843e-09,46.525,1,3e-07,0.01,3e-07,5e-05
0.056248,-2.5614e-09,2.2457e-09,46.525,1,4e-07,0.01,4e-07,5e-05
0.07031,-3.2018e-09,2.8071e-09,46.525,1,5e-07,0.01,5e-07,5e-05
0.084372,-3.8421e-09,3.3686e-09,46.525,1,6e-07,0.01,6e-07,5e-05
0.098435,-4.4825e-09,3.93e-09,46.525,1,7e-07,0.01,7e-07,5e-05
0.1125,-5.1229e-09,4.4914e-09,46.525,1,8e-07,0.01,8e-07,5e-05
0.12656,-5.7632e-09,5.0529e-09,46.525,1,9e-07,0.01,9e-07,5e-05
0.14062,-6.4036e-09,5.6143e-09,46.525,1,1e-06,0.01,1e-06,5e-05
0.15468,-7.0439e-09,6.1757e-09,46.525,1,1.1e-06,0.01,1.1e-06,5e-05
0.16874,-7.6843e-09,6.7372e-09,46.525,1,1.2e-06,0.01,1.2e-06,5e-05
0.18281,-8.3246e-09,7.2986e-09,46.525,1,1.3e-06,0.01,1.3e-06,5e-05
0.19687,-8.965e-09,7.86e-09,46.525,1,1.4e-06,0.01,1.4e-06,5e-05
0.21093,-9.6054e-09,8.4214e-09,46.525,1,1.5e-06,0.01,1.5e-06,5e-05
0.22499,-1.0246e-08,8.9829e-09,46.525,1,1.6e-06,0.01,1.6e-06,5e-05
0.23906,-1.0886e-08,9.5443e-09,46.525,1,1.7e-06,0.01,1.7e-06,5e-05
0.25312,-1.1526e-08,1.0106e-08,46.525,1,1.8e-06,0.01,1.8e-06,5e-05
0.26718,-1.2167e-08,1.0667e-08,46.525,1,1.9e-06,0.01,1.9e-06,5e-05
0.28124,-1.2807e-08,1.1229e-08,46.525,1,2e-06,0.01,2e-06,5e-05
0.2953,-1.3447e-08,1.179e-08,46.525,1,2.1e-06,0.01,2.1e-06,5e-05
0.30937,-1.4088e-08,1.2351e-08,46.525,1,2.2e-06,0.01,2.2e-06,5e-05
0.32343,-1.4728e-08,1.2913e-08,46.525,1,2.3e-06,0.01,2.3e-06,5e-05
0.33749,-1.5369e-08,1.3474e-08,46.525,1,2.4e-06,0.01,2.4e-06,5e-05
0.35155,-1.6009e-08,1.4036e-08,46.525,1,2.5e-06,0.01,2.5e-06,5e-05
0.36561,-1.6649e-08,1.4597e-08,46.525,1,2.6e-06,0.01,2.6e-06,5e-05
0.37968,-1.729e-08,1.5159e-08,46.525,1,2.7e-06,0.01,2.7e-06,5e-05
0.39374,-1.793e-08,1.572e-08,46.525,1,2.8e-06,0.01,2.8e-06,5e-05
0.4078,-1.857e-08,1.6281e-08,46.525,1,2.9e-06,0.01,2.9e-06,5e-05
0.42186,-1.9211e-08,1.6843e-08,46.525,1,3e-06,0.01,3e-06,5e-05
0.43592,-1.9851e-08,1.7404e-08,46.525,1,3.1e-06,0.01,3.1e-06,5e-05
0.44999,-2.0491e-08,1.7966e-08,46.525,1,3.2e-06,0.01,3.2e-06,5e-05
0.46405,-2.1132e-08,1.8527e-08,46.525,1,3.3e-06,0.01,3.3e-06,5e-05
0.47811,-2.1772e-08,1.9089e-08,46.525,1,3.4e-06,0.01,3.4e-06,5e-05
0.49217,-2.2412e-08,1.965e-08,46.525,1,3.5e-06,0.01,3.5e-06,5e-05
0.50623,-2.3053e-08,2.0211e-08,46.525,1,3.6e-06,0.01,3.6e-06,5e-05
0.5203,-2.3693e-08,2.0773e-08,46.525,1,3.7e-06,0.01,3.7e-06,5e-05
0.53436,-2.4334e-08,2.1334e-08,46.525,1,3.8e-06,0.01,3.8e-06,5e-05
0.54842,-2.4974e-08,2.1896e-08,46.525,1,3.9e-06,0.01,3.9e-06,5e-05
0.56248,-2.5614e-08,2.2457e-08,46.525,1,4e-06,0.01,4e-06,5e-05
0.57655,-2.6255e-08,2.3019e-08,46.525,1,4.1e-06,0.01,4.1e-06,5e-05
0.59061,-2.6895e-08,2.358e-08,46.525,1,4.2e-06,0.01,4.2e-06,5e-05
0.60467,-2.7535e-08,2.4141e-08,46.525,1,4.3e-06,0.01,4.3e-06,5e-05
0.61873,-2.8176e-08,2.4703e-08,46.525,1,4.4e-06,0.01,4.4e-06,5e-05
0.63279,-2.8816e-08,2.5264e-08,46.525,1,4.5e-06,0.01,4.5e-06,5e-05
0.64686,-2.9456e-08,2.5826e-08,46.525,1,4.6e-06,0.01,4.6e-06,5e-05
0.66092,-3.0097e-08,2.6387e-08,46.525,1,4.7e-06,0.01,4.7e-06,5e-05
0.67498,-3.0737e-08,2.6949e-08,46.525,1,4.8e-06,0.01,4.8e-06,5e-05
0.68904,-3.1377e-08,2.751e-08,46.525,1,4.9e-06,0.01,4.9e-06,5e-05
0.7031,-3.2018e-08,2.8071e-08,46.525,1,5e-06,0.01,5e-06,5e-05
0.71717,-3.2658e-08,2.8633e-08,46.525,1,5.1e-06,0.01,5.1e-06,5e-05
0.73123,-3.3299e-08,2.9194e-08,46.525,1,5.2e-06,0.01,5.2e-06,5e-05
0.74529,-3.3939e-08,2.9756e-08,46.525,1,5.3e-06,0.01,5.3e-06,5e-05
0.75935,-3.4579e-08,3.0317e-08,46.525,1,5.4e-06,0.01,5.4e-06,5e-05
0.77341,-3.522e-08,3.0879e-08,46.525,1,5.5e-06,0.01,5.5e-06,5e-05
0.78748,-3.586e-08,3.144e-08,46.525,1,5.6e-06,0.01,5.6e-06,5e-05
0.80154,-3.65e-08,3.2001e-08,46.525,1,5.7e-06,0.01,5.7e-06,5e-05
0.8156,-3.7141e-08,3.2563e-08,46.525,1,5.8e-06,0.01,5.8e-06,5e-05
0.82966,-3.7781e-08,3.3124e-08,46.525,1,5.9e-06,0.01,5.9e-06,5e-05
0.84372,-3.8421e-08,3.3686e-08,46.525,1,6e-06,0.01,6e-06,5e-05
0.85779,-3.9062e-08,3.4247e-08,46.525,1,6.1e-06,0.01,6.1e-06,5e-05
0.87185,-3.9702e-08,3.4809e-08,46.525,1,6.2e-06,0.01,6.2e-06,5e-05
0.88591,-4.0342e-08,3.537e-08,46.525,1,6.3e-06,0.01,6.3e-06,5e-05
0.89997,-4.0983e-08,3.5931e-08,46.525,1,6.4e-06,0.01,6.4e-06,5e-05
0.91404,-4.1623e-08,3.6493e-08,46.525,1,6.5e-06,0.01,6.5e-06,5e-05
0.9281,-4.2264e-08,3.7054e-08,46.525,1,6.6e-06,0.01,6.6e-06,5e-05
0.94216,-4.2904e-08,3.7616e-08,46.525,1,6.7e-06,0.01,6.7e-06,5e-05
0.95622,-4.3544e-08,3.8177e-08,46.525,1,6.8e-06,0.01,6.8e-06,5e-05
0.97028,-4.4185e-08,3.8739e-08,46.525,1,6.9e-06,0.01,6.9e-06,5e-05
0.98435,-4.4825e-08,3.93e-08,46.525,1,7e-06,0.01,7e-06,5e-05
0.99841,-4.5465e-08,3.9861e-08,46.525,1,7.1e-06,0.01,7.1e-06,5e-05
1.0108,-4.6394e-08,4.0389e-08,46.525,1,7.2e-06,0.01,7.2e-06,5e-05
1.0219,-4.7538e-08,4.0891e-08,46.525,1,7.3e-06,0.01,7.3e-06,5e-05
1.0331,-4.8683e-08,4.1393e-08,46.525,1,7.4e-06,0.01,7.4e-06,5e-05
1.0442,-4.9827e-08,4.1895e-08,46.525,1,7.5e-06,0.01,7.5e-06,5e-05
1.0553,-5.0972e-08,4.2396e-08,46.525,1,7.6e-06,0.01,7.6e-06,5e-05
1.0665,-5.2117e-08,4.2898e-08,46.525,1,7.7e-06,0.01,7.7e-06,5e-05
1.0776,-5.3261e-08,4.34e-08,46.525,1,7.8e-06,0.01,7.8e-06,5e-05
1.0887,-5.4406e-08,4.3902e-08,46.525,1,7.9e-06,0.01,7.9e-06,5e-05
1.0999,-5.555e-08,4.4404e-08,46.525,1,8e-06,0.01,8e-06,5e-05
1.111,-5.6695e-08,4.4906e-08,46.525,1,8.1e-06,0.01,8.1e-06,5e-05
1.1221,-5.7839e-08,4.5408e-08,46.525,1,8.2e-06,0.01,8.2e-06,5e-05
1.1333,-5.8984e-08,4.591e-08,46.525,1,8.3e-06,0.01,8.3e-06,5e-05
1.1444,-6.0129e-08,4.6411e-08,46.525,1,8.4e-06,0.01,8.4e-06,5e-05
1.1555,-6.1273e-08,4.6913e-08,46.525,1,8.5e-06,0.01,8.5e-06,5e-05
1.1667,-6.2418e-08,4.7415e-08,46.525,1,8.6e-06,0.01,8.6e-06,5e-05
1.1778,-6.3562e-08,4.7917e-08,46.525,1,8.7e-06,0.01,8.7e-06,5e-05
1.1889,-6.4707e-08,4.8419e-08,46.525,1,8.8e-06,0.01,8.8e-06,5e-05
1.2001,-6.5851e-08,4.8921e-08,46.525,1,8.9e-06,0.01,8.9e-06,5e-05
1.2112,-6.6996e-08,4.9423e-08,46.525,1,9e-06,0.01,9e-06,5e-05
1.2223,-6.814e-08,4.9925e-08,46.525,1,9.1e-06,0.01,9.1e-06,5e-05
1.2335,-6.9285e-08,5.0427e-08,46.525,1,9.2e-06,0.01,9.2e-06,5e-05
1.2446,-7.043e-08,5.0928e-08,46.525,1,9.3e-06,0.01,9.3e-06,5e-05
1.2557,-7.1574e-08,5.143e-08,46.525,1,9.4e-06,0.01,9.4e-06,5e-05
1.2669,-7.2719e-08,5.1932e-08,46.525,1,9.5e-06,0.01,9.5e-06,5e-05
1.278,-7.3863e-08,5.2434e-08,46.525,1,9.6e-06,0.01,9.6e-06,5e-05
1.2891,-7.5008e-08,5.2936e-08,46.525,1,9.7e-06,0.01,9.7e-06,5e-05
1.3003,-7.6152e-08,5.3438e-08,46.525,1,9.8e-06,0.01,9.8e-06,5e-05
1.3114,-7.7297e-08,5.394e-08,46.525,1,9.9e-06,0.01,9.9e-06,5e-05
1.3225,-7.8442e-08,5.4442e-08,46.525,1,1e-05,0.01,1e-05,5e-05
1.3337,-7.9586e-08,5.4944e-08,46.525,1,1.01e-05,0.01,1.01e-05,5e-05
1.3448,-8.0731e-08,5.5445e-08,46.525,1,1.02e-05,0.01,1.02e-05,5e-05
1.356,-8.1875e-08,5.5947e-08,46.525,1,1.03e-05,0.01,1.03e-05,5e-05
1.3671,-8.302e-08,5.6449e-08,46.525,1,1.04e-05,0.01,1.04e-05,5e-05
1.3782,-8.4164e-08,5.6951e-08,46.525,1,1.05e-05,0.01,1.05e-05,5e-05
1.3894,-8.5309e-08,5.7453e-08,46.525,1,1.06e-05,0.01,1.06e-05,5e-05
1.4005,-8.6453e-08,5.7955e-08,46.525,1,1.07e-05,0.01,1.07e-05,5e-05
1.4116,-8.7598e-08,5.8457e-08,46.525,1,1.08e-05,0.01,1.08e-05,5e-05
1.4228,-8.8743e-08,5.8959e-08,46.525,1,1.09e-05,0.01,1.09e-05,5e-05
1.4339,-8.9887e-08,5.946e-08,46.525,1,1.1e-05,0.01,1.1e-05,5e-05
1.445,-9.1032e-08,5.9962e-08,46.525,1,1.11e-05,0.01,1.11e-05,5e-05
1.4562,-9.2176e-08,6.0464e-08,46.525,1,1.12e-05,0.01,1.12e-05,5e-05
1.4673,-9.3321e-08,6.0966e-08,46.525,1,1.13e-05,0.01,1.13e-05,5e-05
1.4784,-9.4465e-08,6.1468e-08,46.525,1,1.14e-05,0.01,1.14e-05,5e-05
1.4896,-9.561e-08,6.197e-08,46.525,1,1.15e-05,0.01,1.15e-05,5e-05
1.5007,-9.6755e-08,6.2472e-08,46.525,1,1.16e-05,0.01,1.16e-05,5e-05
1.5118,-9.7899e-08,6.2974e-08,46.525,1,1.17e-05,0.01,1.17e-05,5e-05
1.523,-9.9044e-08,6.3476e-08,46.525,1,1.18e-05,0.01,1.18e-05,5e-05
1.5341,-1.0019e-07,6.3977e-08,46.525,1,1.19e-05,0.01,1.19e-05,5e-05
1.5452,-1.0133e-07,6.4479e-08,46.525,1,1.2e-05,0.01,1.2e-05,5e-05
1.5564,-1.0248e-07,6.4981e-08,46.525,1,1.21e-05,0.01,1.21e-05,5e-05
1.5675,-1.0362e-07,6.5483e-08,46.525,1,1.22e-05,0.01,1.22e-05,5e-05
1.5786,-1.0477e-07,6.5985e-08,46.525,1,1.23e-05,0.01,1.23e-05,5e-05
1.5898,-1.0591e-07,6.6487e-08,46.525,1,1.24e-05,0.01,1.24e-05,5e-05
1.6009,-1.0706e-07,6.6989e-08,46.525,1,1.25e-05,0.01,1.25e-05,5e-05
1.612,-1.082e-07,6.7491e-08,46.525,1,1.26e-05,0.01,1.26e-05,5e-05
1.6232,-1.0934e-07,6.7992e-08,46.525,1,1.27e-05,0.01,1.27e-05,5e-05
1.6343,-1.1049e-07,6.8494e-08,46.525,1,1.28e-05,0.01,1.28e-05,5e-05
1.6454,-1.1163e-07,6.8996e-08,46.525,1,1.29e-05,0.01,1.29e-05,5e-05
1.6566,-1.1278e-07,6.9498e-08,46.525,1,1.3e-05,0.01,1.3e-05,5e-05
1.6677,-1.1392e-07,7e-08,46.525,1,1.31e-05,0.01,1.31e-05,5e-05
1.6788,-1.1507e-07,7.0502e-08,46.525,1,1.32e-05,0.01,1.32e-05,5e-05
1.69,-1.1621e-07,7.1004e-08,46.525,1,1.33e-05,0.01,1.33e-05,5e-05
1.7011,-1.1736e-07,7.1506e-08,46.525,1,1.34e-05,0.01,1.34e-05,5e-05
1.7122,-1.185e-07,7.2008e-08,46.525,1,1.35e-05,0.01,1.35e-05,5e-05
1.7234,-1.1965e-07,7.2509e-08,46.525,1,1.36e-05,0.01,1.36e-05,5e-05
1.7345,-1.2079e-07,7.3011e-08,46.525,1,1.37e-05,0.01,1.37e-05,5e-05
1.7456,-1.2193e-07,7.3513e-08,46.525,1,1.38e-05,0.01,1.38e-05,5e-05
1.7568,-1.2308e-07,7.4015e-08,46.525,1,1.39e-05,0.01,1.39e-05,5e-05
1.7679,-1.2422e-07,7.4517e-08,46.525,1,1.4e-05,0.01,1.4e-05,5e-05
1.779,-1.2537e-07,7.5019e-08,46.525,1,1.41e-05,0.01,1.41e-05,5e-05
1.7902,-1.2651e-07,7.5521e-08,46.525,1,1.42e-05,0.01,1.42e-05,5e-05
1.8009,-1.2765e-07,7.5984e-08,46.525,1,1.43e-05,0.01,1.43e-05,5e-05
1.8095,-1.2877e-07,7.6215e-08,46.525,1,1.44e-05,0.01,1.44e-05,5e-05
1.8181,-1.2989e-07,7.6447e-08,46.525,1,1.45e-05,0.01,1.45e-05,5e-05
1.8267,-1.31e-07,7.6678e-08,46.525,1,1.46e-05,0.01,1.46e-05,5e-05
1.8352,-1.3212e-07,7.691e-08,46.525,1,1.47e-05,0.01,1.47e-05,5e-05
1.8438,-1.3324e-07,7.7141e-08,46.525,1,1.48e-05,0.01,1.48e-05,5e-05
1.8524,-1.3435e-07,7.7373e-08,46.525,1,1.49e-05,0.01,1.49e-05,5e-05
1.861,-1.3547e-07,7.7604e-08,46.525,1,1.5e-05,0.01,1.5e-05,5e-05
1.8695,-1.3658e-07,7.7836e-08,46.525,1,1.51e-05,0.01,1.51e-05,5e-05
1.8781,-1.377e-07,7.8067e-08,46.525,1,1.52e-05,0.01,1.52e-05,5e-05
1.8867,-1.3882e-07,7.8299e-08,46.525,1,1.53e-05,0.01,1.53e-05,5e-05
1.8952,-1.3993e-07,7.853e-08,46.525,1,1.54e-05,0.01,1.54e-05,5e-05
1.9038,-1.4105e-07,7.8762e-08,46.525,1,1.55e-05,0.01,1.55e-05,5e-05
1.9124,-1.4217e-07,7.8993e-08,46.525,1,1.56e-05,0.01,1.56e-05,5e-05
1.921,-1.4328e-07,7.9225e-08,46.525,1,1.57e-05,0.01,1.57e-05,5e-05
1.9295,-1.444e-07,7.9456e-08,46.525,1,1.58e-05,0.01,1.58e-05,5e-05
1.9381,-1.4551e-07,7.9688e-08,46.525,1,1.59e-05,0.01,1.59e-05,5e-05
1.9467,-1.4663e-07,7.9919e-08,46.525,1,1.6e-05,0.01,1.6e-05,5e-05
1.9553,-1.4775e-07,8.0151e-08,46.525,1,1.61e-05,0.01,1.61e-05,5e-05
1.9638,-1.4886e-07,8.0382e-08,46.525,1,1.62e-05,0.01,1.62e-05,5e-05
1.9724,-1.4998e-07,8.0614e-08,46.525,1,1.63e-05,0.01,1.63e-05,5e-05
1.981,-1.511e-07,8.0845e-08,46.525,1,1.64e-05,0.01,1.64e-05,5e-05
1.9895,-1.5221e-07,8.1077e-08,46.525,1,1.65e-05,0.01,1.65e-05,5e-05
1.9981,-1.5333e-07,8.1308e-08,46.525,1,1.66e-05,0.01,1.66e-05,5e-05
2.0067,-1.5445e-07,8.154e-08,46.525,1,1.67e-05,0.01,1.67e-05,5e-05
2.0153,-1.5556e-07,8.1771e-08,46.525,1,1.68e-05,0.01,1.68e-05,5e-05
2.0238,-1.5668e-07,8.2003e-08,46.525,1,1.69e-05,0.01,1.69e-05,5e-05
2.0324,-1.5779e-07,8.2234e-08,46.525,1,1.7e-05,0.01,1.7e-05,5e-05
2.041,-1.5891e-07,8.2466e-08,46.525,1,1.71e-05,0.01,1.71e-05,5e-05
2.0496,-1.6003e-07,8.2697e-08,46.525,1,1.72e-05,0.01,1.72e-05,5e-05
2.0581,-1.6114e-07,8.2929e-08,46.525,1,1.73e-05,0.01,1.73e-05,5e-05
2.0667,-1.6226e-07,8.316e-08,46.525,1,1.74e-05,0.01,1.74e-05,5e-05
2.0753,-1.6338e-07,8.3392e-08,46.525,1,1.75e-05,0.01,1.75e-05,5e-05
2.0838,-1.6449e-07,8.3623e-08,46.525,1,1.76e-05,0.01,1.76e-05,5e-05
2.0924,-1.6561e-07,8.3855e-08,46.525,1,1.77e-05,0.01,1.77e-05,5e-05
2.101,-1.6673e-07,8.4086e-08,46.525,1,1.78e-05,0.01,1.78e-05,5e-05
2.1096,-1.6784e-07,8.4318e-08,46.525,1,1.79e-05,0.01,1.79e-05,5e-05
2.1181,-1.6896e-07,8.4549e-08,46.525,1,1.8e-05,0.01,1.8e-05,5e-05
2.1267,-1.7007e-07,8.4781e-08,46.525,1,1.81e-05,0.01,1.81e-05,5e-05
2.1353,-1.7119e-07,8.5012e-08,46.525,1,1.82e-05,0.01,1.82e-05,5e-05
2.1439,-1.7231e-07,8.5244e-08,46.525,1,1.83e-05,0.01,1.83e-05,5e-05
2.1524,-1.7342e-07,8.5475e-08,46.525,1,1.84e-05,0.01,1.84e-05,5e-05
2.161,-1.7454e-07,8.5707e-08,46.525,1,1.85e-05,0.01,1.85e-05,5e-05
2.1696,-1.7566e-07,8.5938e-08,46.525,1,1.86e-05,0.01,1.86e-05,5e-05
2.1782,-1.7677e-07,8.617e-08,46.525,1,1.87e-05,0.01,1.87e-05,5e-05
2.1867,-1.7789e-07,8.6401e-08,46.525,1,1.88e-05,0.01,1.88e-05,5e-05
2.1953,-1.79e-07,8.6632e-08,46.525,1,1.89e-05,0.01,1.89e-05,5e-05
2.2039,-1.8012e-07,8.6864e-08,46.525,1,1.9e-05,0.01,1.9e-05,5e-05
2.2124,-1.8124e-07,8.7095e-08,46.525,1,1.91e-05,0.01,1.91e-05,5e-05
2.221,-1.8235e-07,8.7327e-08,46.525,1,1.92e-05,0.01,1.92e-05,5e-05
2.2296,-1.8347e-07,8.7558e-08,46.525,1,1.93e-05,0.01,1.93e-05,5e-05
2.2382,-1.8459e-07,8.779e-08,46.525,1,1.94e-05,0.01,1.94e-05,5e-05
2.2467,-1.857e-07,8.8021e-08,46.525,1,1.95e-05,0.01,1.95e-05,5e-05
2.2553,-1.8682e-07,8.8253e-08,46.525,1,1.96e-05,0.01,1.96e-05,5e-05
2.2639,-1.8794e-07,8.8484e-08,46.525,1,1.97e-05,0.01,1.97e-05,5e-05
2.2725,-1.8905e-07,8.8716e-08,46.525,1,1.98e-05,0.01,1.98e-05,5e-05
2.281,-1.9017e-07,8.8947e-08,46.525,1,1.99e-05,0.01,1.99e-05,5e-05
2.2896,-1.9128e-07,8.9179e-08,46.525,1,2e-05,0.01,2e-05,5e-05
2.2982,-1.924e-07,8.941e-08,46.525,1,2.01e-05,0.01,2.01e-05,5e-05
2.3067,-1.9352e-07,8.9642e-08,46.525,1,2.02e-05,0.01,2.02e-05,5e-05
2.3153,-1.9463e-07,8.9873e-08,46.525,1,2.03e-05,0.01,2.03e-05,5e-05
2.3239,-1.9575e-07,9.0105e-08,46.525,1,2.04e-05,0.01,2.04e-05,5e-05
2.3325,-1.9687e-07,9.0336e-08,46.525,1,2.05e-05,0.01,2.05e-05,5e-05
2.341,-1.9798e-07,9.0568e-08,46.525,1,2.06e-05,0.01,2.06e-05,5e-05
2.3496,-1.991e-07,9.0799e-08,46.525,1,2.07e-05,0.01,2.07e-05,5e-05
2.3582,-2.0021e-07,9.1031e-08,46.525,1,2.08e-05,0.01,2.08e-05,5e-05
2.3668,-2.0133e-07,9.1262e-08,46.525,1,2.09e-05,0.01,2.09e-05,5e-05
2.3753,-2.0245e-07,9.1494e-08,46.525,1,2.1e-05,0.01,2.1e-05,5e-05
2.3839,-2.0356e-07,9.1725e-08,46.525,1,2.11e-05,0.01,2.11e-05,5e-05
2.3925,-2.0468e-07,9.1957e-08,46.525,1,2.12e-05,0.01,2.12e-05,5e-05
