"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.11859,1,0,0.01,0,5e-05
1.3174e-05,5.7928e-14,1.3542e-14,0.11859,1,1e-07,0.01,1e-07,5e-05
2.6349e-05,1.1586e-13,2.7084e-14,0.11859,1,2e-07,0.01,2e-07,5e-05
3.9523e-05,1.7378e-13,4.0625e-14,0.11859,1,3e-07,0.01,3e-07,5e-05
5.2698e-05,2.3171e-13,5.4167e-14,0.11859,1,4e-07,0.01,4e-07,5e-05
6.5872e-05,2.8964e-13,6.7709e-14,0.11859,1,5e-07,0.01,5e-07,5e-05
7.9047e-05,3.4757e-13,8.1251e-14,0.11859,1,6e-07,0.01,6e-07,5e-05
9.2221e-05,4.055e-13,9.4792e-14,0.11859,1,7e-07,0.01,7e-07,5e-05
0.0001054,4.6342e-13,1.0833e-13,0.11859,1,8e-07,0.01,8e-07,5e-05
0.00011857,5.2135e-13,1.2188e-13,0.11859,1,9e-07,0.01,9e-07,5e-05
0.00013174,5.7928e-13,1.3542e-13,0.11859,1,1e-06,0.01,1e-06,5e-05
0.00014492,6.3721e-13,1.4896e-13,0.11859,1,1.1e-06,0.01,1.1e-06,5e-05
0.00015809,6.9514e-13,1.625e-13,0.11859,1,1.2e-06,0.01,1.2e-06,5e-05
0.00017127,7.5306e-13,1.7604e-13,0.11859,1,1.3e-06,0.01,1.3e-06,5e-05
0.00018444,8.1099e-13,1.8958e-13,0.11859,1,1.4e-06,0.01,1.4e-06,5e-05
0.00019762,8.6892e-13,2.0313e-13,0.11859,1,1.5e-06,0.01,1.5e-06,5e-05
0.00021079,9.2685e-13,2.1667e-13,0.11859,1,1.6e-06,0.01,1.6e-06,5e-05
0.00022397,9.8477e-13,2.3021e-13,0.11859,1,1.7e-06,0.01,1.7e-06,5e-05
0.00023714,1.0427e-12,2.4375e-13,0.11859,1,1.8e-06,0.01,1.8e-06,5e-05
0.00025032,1.1006e-12,2.5729e-13,0.11859,1,1.9e-06,0.01,1.9e-06,5e-05
0.00026349,1.1586e-12,2.7084e-13,0.11859,1,2e-06,0.01,2e-06,5e-05
0.00027666,1.2165e-12,2.8438e-13,0.11859,1,2.1e-06,0.01,2.1e-06,5e-05
0.00028984,1.2744e-12,2.9792e-13,0.11859,1,2.2e-06,0.01,2.2e-06,5e-05
0.00030301,1.3323e-12,3.1146e-13,0.11859,1,2.3e-06,0.01,2.3e-06,5e-05
0.00031619,1.3903e-12,3.25e-13,0.11859,1,2.4e-06,0.01,2.4e-06,5e-05
0.00032936,1.4482e-12,3.3854e-13,0.11859,1,2.5e-06,0.01,2.5e-06,5e-05
0.00034254,1.5061e-12,3.5209e-13,0.11859,1,2.6e-06,0.01,2.6e-06,5e-05
0.00035571,1.5641e-12,3.6563e-13,0.11859,1,2.7e-06,0.01,2.7e-06,5e-05
0.00036889,1.622e-12,3.7917e-13,0.11859,1,2.8e-06,0.01,2.8e-06,5e-05
0.00038206,1.6799e-12,3.9271e-13,0.11859,1,2.9e-06,0.01,2.9e-06,5e-05
0.00039523,1.7378e-12,4.0625e-13,0.11859,1,3e-06,0.01,3e-06,5e-05
0.00040841,1.7958e-12,4.1979e-13,0.11859,1,3.1e-06,0.01,3.1e-06,5e-05
0.00042158,1.8537e-12,4.3334e-13,0.11859,1,3.2e-06,0.01,3.2e-06,5e-05
0.00043476,1.9116e-12,4.4688e-13,0.11859,1,3.3e-06,0.01,3.3e-06,5e-05
0.00044793,1.9695e-12,4.6042e-13,0.11859,1,3.4e-06,0.01,3.4e-06,5e-05
0.00046111,2.0275e-12,4.7396e-13,0.11859,1,3.5e-06,0.01,3.5e-06,5e-05
0.00047428,2.0854e-12,4.875e-13,0.11859,1,3.6e-06,0.01,3.6e-06,5e-05
0.00048746,2.1433e-12,5.0105e-13,0.11859,1,3.7e-06,0.01,3.7e-06,5e-05
0.00050063,2.2013e-12,5.1459e-13,0.11859,1,3.8e-06,0.01,3.8e-06,5e-05
0.0005138,2.2592e-12,5.2813e-13,0.11859,1,3.9e-06,0.01,3.9e-06,5e-05
0.00052698,2.3171e-12,5.4167e-13,0.11859,1,4e-06,0.01,4e-06,5e-05
0.00054015,2.375e-12,5.5521e-13,0.11859,1,4.1e-06,0.01,4.1e-06,5e-05
0.00055333,2.433e-12,5.6875e-13,0.11859,1,4.2e-06,0.01,4.2e-06,5e-05
0.0005665,2.4909e-12,5.823e-13,0.11859,1,4.3e-06,0.01,4.3e-06,5e-05
0.00057968,2.5488e-12,5.9584e-13,0.11859,1,4.4e-06,0.01,4.4e-06,5e-05
0.00059285,2.6068e-12,6.0938e-13,0.11859,1,4.5e-06,0.01,4.5e-06,5e-05
0.00060603,2.6647e-12,6.2292e-13,0.11859,1,4.6e-06,0.01,4.6e-06,5e-05
0.0006192,2.7226e-12,6.3646e-13,0.11859,1,4.7e-06,0.01,4.7e-06,5e-05
0.00063237,2.7805e-12,6.5e-13,0.11859,1,4.8e-06,0.01,4.8e-06,5e-05
0.00064555,2.8385e-12,6.6355e-13,0.11859,1,4.9e-06,0.01,4.9e-06,5e-05
0.00065872,2.8964e-12,6.7709e-13,0.11859,1,5e-06,0.01,5e-06,5e-05
0.0006719,2.9543e-12,6.9063e-13,0.11859,1,5.1e-06,0.01,5.1e-06,5e-05
0.00068507,3.0123e-12,7.0417e-13,0.11859,1,5.2e-06,0.01,5.2e-06,5e-05
0.00069825,3.0702e-12,7.1771e-13,0.11859,1,5.3e-06,0.01,5.3e-06,5e-05
0.00071142,3.1281e-12,7.3126e-13,0.11859,1,5.4e-06,0.01,5.4e-06,5e-05
0.0007246,3.186e-12,7.448e-13,0.11859,1,5.5e-06,0.01,5.5e-06,5e-05
0.00073777,3.244e-12,7.5834e-13,0.11859,1,5.6e-06,0.01,5.6e-06,5e-05
0.00075095,3.3019e-12,7.7188e-13,0.11859,1,5.7e-06,0.01,5.7e-06,5e-05
0.00076412,3.3598e-12,7.8542e-13,0.11859,1,5.8e-06,0.01,5.8e-06,5e-05
0.00077729,3.4177e-12,7.9896e-13,0.11859,1,5.9e-06,0.01,5.9e-06,5e-05
0.00079047,3.4757e-12,8.1251e-13,0.11859,1,6e-06,0.01,6e-06,5e-05
0.00080364,3.5336e-12,8.2605e-13,0.11859,1,6.1e-06,0.01,6.1e-06,5e-05
0.00081682,3.5915e-12,8.3959e-13,0.11859,1,6.2e-06,0.01,6.2e-06,5e-05
0.00082999,3.6495e-12,8.5313e-13,0.11859,1,6.3e-06,0.01,6.3e-06,5e-05
0.00084317,3.7074e-12,8.6667e-13,0.11859,1,6.4e-06,0.01,6.4e-06,5e-05
0.00085634,3.7653e-12,8.8021e-13,0.11859,1,6.5e-06,0.01,6.5e-06,5e-05
0.00086952,3.8232e-12,8.9376e-13,0.11859,1,6.6e-06,0.01,6.6e-06,5e-05
0.00088269,3.8812e-12,9.073e-13,0.11859,1,6.7e-06,0.01,6.7e-06,5e-05
0.00089586,3.9391e-12,9.2084e-13,0.11859,1,6.8e-06,0.01,6.8e-06,5e-05
0.00090904,3.997e-12,9.3438e-13,0.11859,1,6.9e-06,0.01,6.9e-06,5e-05
0.00092221,4.055e-12,9.4792e-13,0.11859,1,7e-06,0.01,7e-06,5e-05
0.00093539,4.1129e-12,9.6147e-13,0.11859,1,7.1e-06,0.01,7.1e-06,5e-05
0.00094856,4.1708e-12,9.7501e-13,0.11859,1,7.2e-06,0.01,7.2e-06,5e-05
0.00096174,4.2287e-12,9.8855e-13,0.11859,1,7.3e-06,0.01,7.3e-06,5e-05
0.00097491,4.2867e-12,1.0021e-12,0.11859,1,7.4e-06,0.01,7.4e-06,5e-05
0.00098809,4.3446e-12,1.0156e-12,0.11859,1,7.5e-06,0.01,7.5e-06,5e-05
0.0010013,4.4025e-12,1.0292e-12,0.11859,1,7.6e-06,0.01,7.6e-06,5e-05
0.0010144,4.4604e-12,1.0427e-12,0.11859,1,7.7e-06,0.01,7.7e-06,5e-05
0.0010276,4.5184e-12,1.0563e-12,0.11859,1,7.8e-06,0.01,7.8e-06,5e-05
0.0010408,4.5763e-12,1.0698e-12,0.11859,1,7.9e-06,0.01,7.9e-06,5e-05
0.001054,4.6342e-12,1.0833e-12,0.11859,1,8e-06,0.01,8e-06,5e-05
0.0010671,4.6922e-12,1.0969e-12,0.11859,1,8.1e-06,0.01,8.1e-06,5e-05
0.0010803,4.7501e-12,1.1104e-12,0.11859,1,8.2e-06,0.01,8.2e-06,5e-05
0.0010935,4.808e-12,1.124e-12,0.11859,1,8.3e-06,0.01,8.3e-06,5e-05
0.0011067,4.8659e-12,1.1375e-12,0.11859,1,8.4e-06,0.01,8.4e-06,5e-05
0.0011198,4.9239e-12,1.1511e-12,0.11859,1,8.5e-06,0.01,8.5e-06,5e-05
0.001133,4.9818e-12,1.1646e-12,0.11859,1,8.6e-06,0.01,8.6e-06,5e-05
0.0011462,5.0397e-12,1.1781e-12,0.11859,1,8.7e-06,0.01,8.7e-06,5e-05
0.0011594,5.0977e-12,1.1917e-12,0.11859,1,8.8e-06,0.01,8.8e-06,5e-05
0.0011725,5.1556e-12,1.2052e-12,0.11859,1,8.9e-06,0.01,8.9e-06,5e-05
0.0011857,5.2135e-12,1.2188e-12,0.11859,1,9e-06,0.01,9e-06,5e-05
0.0011989,5.2714e-12,1.2323e-12,0.11859,1,9.1e-06,0.01,9.1e-06,5e-05
0.0012121,5.3294e-12,1.2458e-12,0.11859,1,9.2e-06,0.01,9.2e-06,5e-05
0.0012252,5.3873e-12,1.2594e-12,0.11859,1,9.3e-06,0.01,9.3e-06,5e-05
