"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,11.437,1,0,0.01,0,5e-05
0.0011615,6.4388e-12,9.733e-12,11.437,1,1e-07,0.01,1e-07,5e-05
0.002323,1.2878e-11,1.9466e-11,11.437,1,2e-07,0.01,2e-07,5e-05
0.0034845,1.9316e-11,2.9199e-11,11.437,1,3e-07,0.01,3e-07,5e-05
0.004646,2.5755e-11,3.8932e-11,11.437,1,4e-07,0.01,4e-07,5e-05
0.0058075,3.2194e-11,4.8665e-11,11.437,1,5e-07,0.01,5e-07,5e-05
0.006969,3.8633e-11,5.8398e-11,11.437,1,6e-07,0.01,6e-07,5e-05
0.0081305,4.5072e-11,6.8131e-11,11.437,1,7e-07,0.01,7e-07,5e-05
0.009292,5.1511e-11,7.7864e-11,11.437,1,8e-07,0.01,8e-07,5e-05
0.010453,5.7949e-11,8.7597e-11,11.437,1,9e-07,0.01,9e-07,5e-05
0.011615,6.4388e-11,9.733e-11,11.437,1,1e-06,0.01,1e-06,5e-05
0.012776,7.0827e-11,1.0706e-10,11.437,1,1.1e-06,0.01,1.1e-06,5e-05
0.013938,7.7266e-11,1.168e-10,11.437,1,1.2e-06,0.01,1.2e-06,5e-05
0.015099,8.3705e-11,1.2653e-10,11.437,1,1.3e-06,0.01,1.3e-06,5e-05
0.016261,9.0143e-11,1.3626e-10,11.437,1,1.4e-06,0.01,1.4e-06,5e-05
0.017422,9.6582e-11,1.46e-10,11.437,1,1.5e-06,0.01,1.5e-06,5e-05
0.018584,1.0302e-10,1.5573e-10,11.437,1,1.6e-06,0.01,1.6e-06,5e-05
0.019745,1.0946e-10,1.6546e-10,11.437,1,1.7e-06,0.01,1.7e-06,5e-05
0.020907,1.159e-10,1.7519e-10,11.437,1,1.8e-06,0.01,1.8e-06,5e-05
0.022068,1.2234e-10,1.8493e-10,11.437,1,1.9e-06,0.01,1.9e-06,5e-05
0.02323,1.2878e-10,1.9466e-10,11.437,1,2e-06,0.01,2e-06,5e-05
0.024391,1.3522e-10,2.0439e-10,11.437,1,2.1e-06,0.01,2.1e-06,5e-05
0.025553,1.4165e-10,2.1413e-10,11.437,1,2.2e-06,0.01,2.2e-06,5e-05
0.026714,1.4809e-10,2.2386e-10,11.437,1,2.3e-06,0.01,2.3e-06,5e-05
0.027876,1.5453e-10,2.3359e-10,11.437,1,2.4e-06,0.01,2.4e-06,5e-05
0.029037,1.6097e-10,2.4333e-10,11.437,1,2.5e-06,0.01,2.5e-06,5e-05
0.030199,1.6741e-10,2.5306e-10,11.437,1,2.6e-06,0.01,2.6e-06,5e-05
0.03136,1.7385e-10,2.6279e-10,11.437,1,2.7e-06,0.01,2.7e-06,5e-05
0.032522,1.8029e-10,2.7252e-10,11.437,1,2.8e-06,0.01,2.8e-06,5e-05
0.033683,1.8673e-10,2.8226e-10,11.437,1,2.9e-06,0.01,2.9e-06,5e-05
0.034845,1.9316e-10,2.9199e-10,11.437,1,3e-06,0.01,3e-06,5e-05
0.036006,1.996e-10,3.0172e-10,11.437,1,3.1e-06,0.01,3.1e-06,5e-05
0.037168,2.0604e-10,3.1146e-10,11.437,1,3.2e-06,0.01,3.2e-06,5e-05
0.038329,2.1248e-10,3.2119e-10,11.437,1,3.3e-06,0.01,3.3e-06,5e-05
0.039491,2.1892e-10,3.3092e-10,11.437,1,3.4e-06,0.01,3.4e-06,5e-05
0.040652,2.2536e-10,3.4066e-10,11.437,1,3.5e-06,0.01,3.5e-06,5e-05
0.041814,2.318e-10,3.5039e-10,11.437,1,3.6e-06,0.01,3.6e-06,5e-05
0.042975,2.3824e-10,3.6012e-10,11.437,1,3.7e-06,0.01,3.7e-06,5e-05
0.044137,2.4468e-10,3.6985e-10,11.437,1,3.8e-06,0.01,3.8e-06,5e-05
0.045298,2.5111e-10,3.7959e-10,11.437,1,3.9e-06,0.01,3.9e-06,5e-05
0.04646,2.5755e-10,3.8932e-10,11.437,1,4e-06,0.01,4e-06,5e-05
