"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,107.41,1,0,0.01,0,5e-05
0.009658,-9.644e-10,-8.1998e-11,107.41,1,1e-07,0.01,1e-07,5e-05
0.019316,-1.9288e-09,-1.64e-10,107.41,1,2e-07,0.01,2e-07,5e-05
0.028974,-2.8932e-09,-2.4599e-10,107.41,1,3e-07,0.01,3e-07,5e-05
0.038632,-3.8576e-09,-3.2799e-10,107.41,1,4e-07,0.01,4e-07,5e-05
0.04829,-4.822e-09,-4.0999e-10,107.41,1,5e-07,0.01,5e-07,5e-05
0.057948,-5.7864e-09,-4.9199e-10,107.41,1,6e-07,0.01,6e-07,5e-05
0.067606,-6.7508e-09,-5.7398e-10,107.41,1,7e-07,0.01,7e-07,5e-05
0.077264,-7.7152e-09,-6.5598e-10,107.41,1,8e-07,0.01,8e-07,5e-05
0.086922,-8.6796e-09,-7.3798e-10,107.41,1,9e-07,0.01,9e-07,5e-05
0.09658,-9.644e-09,-8.1998e-10,107.41,1,1e-06,0.01,1e-06,5e-05
0.10624,-1.0608e-08,-9.0198e-10,107.41,1,1.1e-06,0.01,1.1e-06,5e-05
0.1159,-1.1573e-08,-9.8397e-10,107.41,1,1.2e-06,0.01,1.2e-06,5e-05
0.12555,-1.2537e-08,-1.066e-09,107.41,1,1.3e-06,0.01,1.3e-06,5e-05
0.13521,-1.3502e-08,-1.148e-09,107.41,1,1.4e-06,0.01,1.4e-06,5e-05
0.14487,-1.4466e-08,-1.23e-09,107.41,1,1.5e-06,0.01,1.5e-06,5e-05
0.15453,-1.543e-08,-1.312e-09,107.41,1,1.6e-06,0.01,1.6e-06,5e-05
0.16419,-1.6395e-08,-1.394e-09,107.41,1,1.7e-06,0.01,1.7e-06,5e-05
0.17384,-1.7359e-08,-1.476e-09,107.41,1,1.8e-06,0.01,1.8e-06,5e-05
0.1835,-1.8324e-08,-1.558e-09,107.41,1,1.9e-06,0.01,1.9e-06,5e-05
0.19316,-1.9288e-08,-1.64e-09,107.41,1,2e-06,0.01,2e-06,5e-05
0.20282,-2.0252e-08,-1.722e-09,107.41,1,2.1e-06,0.01,2.1e-06,5e-05
0.21248,-2.1217e-08,-1.804e-09,107.41,1,2.2e-06,0.01,2.2e-06,5e-05
0.22213,-2.2181e-08,-1.886e-09,107.41,1,2.3e-06,0.01,2.3e-06,5e-05
0.23179,-2.3146e-08,-1.9679e-09,107.41,1,2.4e-06,0.01,2.4e-06,5e-05
0.24145,-2.411e-08,-2.0499e-09,107.41,1,2.5e-06,0.01,2.5e-06,5e-05
0.25111,-2.5074e-08,-2.1319e-09,107.41,1,2.6e-06,0.01,2.6e-06,5e-05
0.26077,-2.6039e-08,-2.2139e-09,107.41,1,2.7e-06,0.01,2.7e-06,5e-05
0.27042,-2.7003e-08,-2.2959e-09,107.41,1,2.8e-06,0.01,2.8e-06,5e-05
0.28008,-2.7968e-08,-2.3779e-09,107.41,1,2.9e-06,0.01,2.9e-06,5e-05
0.28974,-2.8932e-08,-2.4599e-09,107.41,1,3e-06,0.01,3e-06,5e-05
0.2994,-2.9896e-08,-2.5419e-09,107.41,1,3.1e-06,0.01,3.1e-06,5e-05
0.30905,-3.0861e-08,-2.6239e-09,107.41,1,3.2e-06,0.01,3.2e-06,5e-05
0.31871,-3.1825e-08,-2.7059e-09,107.41,1,3.3e-06,0.01,3.3e-06,5e-05
0.32837,-3.279e-08,-2.7879e-09,107.41,1,3.4e-06,0.01,3.4e-06,5e-05
0.33803,-3.3754e-08,-2.8699e-09,107.41,1,3.5e-06,0.01,3.5e-06,5e-05
0.34769,-3.4718e-08,-2.9519e-09,107.41,1,3.6e-06,0.01,3.6e-06,5e-05
0.35734,-3.5683e-08,-3.0339e-09,107.41,1,3.7e-06,0.01,3.7e-06,5e-05
0.367,-3.6647e-08,-3.1159e-09,107.41,1,3.8e-06,0.01,3.8e-06,5e-05
0.37666,-3.7612e-08,-3.1979e-09,107.41,1,3.9e-06,0.01,3.9e-06,5e-05
0.38632,-3.8576e-08,-3.2799e-09,107.41,1,4e-06,0.01,4e-06,5e-05
0.39598,-3.954e-08,-3.3619e-09,107.41,1,4.1e-06,0.01,4.1e-06,5e-05
0.40563,-4.0505e-08,-3.4439e-09,107.41,1,4.2e-06,0.01,4.2e-06,5e-05
0.41529,-4.1469e-08,-3.5259e-09,107.41,1,4.3e-06,0.01,4.3e-06,5e-05
0.42495,-4.2434e-08,-3.6079e-09,107.41,1,4.4e-06,0.01,4.4e-06,5e-05
0.43461,-4.3398e-08,-3.6899e-09,107.41,1,4.5e-06,0.01,4.5e-06,5e-05
0.44427,-4.4362e-08,-3.7719e-09,107.41,1,4.6e-06,0.01,4.6e-06,5e-05
0.45392,-4.5327e-08,-3.8539e-09,107.41,1,4.7e-06,0.01,4.7e-06,5e-05
0.46358,-4.6291e-08,-3.9359e-09,107.41,1,4.8e-06,0.01,4.8e-06,5e-05
0.47324,-4.7256e-08,-4.0179e-09,107.41,1,4.9e-06,0.01,4.9e-06,5e-05
0.4829,-4.822e-08,-4.0999e-09,107.41,1,5e-06,0.01,5e-06,5e-05
0.49256,-4.9184e-08,-4.1819e-09,107.41,1,5.1e-06,0.01,5.1e-06,5e-05
0.50221,-5.0149e-08,-4.2639e-09,107.41,1,5.2e-06,0.01,5.2e-06,5e-05
0.51187,-5.1113e-08,-4.3459e-09,107.41,1,5.3e-06,0.01,5.3e-06,5e-05
0.52153,-5.2078e-08,-4.4279e-09,107.41,1,5.4e-06,0.01,5.4e-06,5e-05
0.53119,-5.3042e-08,-4.5099e-09,107.41,1,5.5e-06,0.01,5.5e-06,5e-05
0.54085,-5.4007e-08,-4.5919e-09,107.41,1,5.6e-06,0.01,5.6e-06,5e-05
0.5505,-5.4971e-08,-4.6739e-09,107.41,1,5.7e-06,0.01,5.7e-06,5e-05
0.56016,-5.5935e-08,-4.7559e-09,107.41,1,5.8e-06,0.01,5.8e-06,5e-05
0.56982,-5.69e-08,-4.8379e-09,107.41,1,5.9e-06,0.01,5.9e-06,5e-05
0.57948,-5.7864e-08,-4.9199e-09,107.41,1,6e-06,0.01,6e-06,5e-05
0.58914,-5.8829e-08,-5.0019e-09,107.41,1,6.1e-06,0.01,6.1e-06,5e-05
0.59879,-5.9793e-08,-5.0839e-09,107.41,1,6.2e-06,0.01,6.2e-06,5e-05
0.60845,-6.0757e-08,-5.1659e-09,107.41,1,6.3e-06,0.01,6.3e-06,5e-05
0.61811,-6.1722e-08,-5.2479e-09,107.41,1,6.4e-06,0.01,6.4e-06,5e-05
0.62777,-6.2686e-08,-5.3299e-09,107.41,1,6.5e-06,0.01,6.5e-06,5e-05
0.63743,-6.3651e-08,-5.4119e-09,107.41,1,6.6e-06,0.01,6.6e-06,5e-05
0.64708,-6.4615e-08,-5.4939e-09,107.41,1,6.7e-06,0.01,6.7e-06,5e-05
0.65674,-6.5579e-08,-5.5759e-09,107.41,1,6.8e-06,0.01,6.8e-06,5e-05
0.6664,-6.6544e-08,-5.6579e-09,107.41,1,6.9e-06,0.01,6.9e-06,5e-05
0.67606,-6.7508e-08,-5.7398e-09,107.41,1,7e-06,0.01,7e-06,5e-05
0.68572,-6.8473e-08,-5.8218e-09,107.41,1,7.1e-06,0.01,7.1e-06,5e-05
0.69537,-6.9437e-08,-5.9038e-09,107.41,1,7.2e-06,0.01,7.2e-06,5e-05
0.70503,-7.0401e-08,-5.9858e-09,107.41,1,7.3e-06,0.01,7.3e-06,5e-05
0.71469,-7.1366e-08,-6.0678e-09,107.41,1,7.4e-06,0.01,7.4e-06,5e-05
0.72435,-7.233e-08,-6.1498e-09,107.41,1,7.5e-06,0.01,7.5e-06,5e-05
0.73401,-7.3295e-08,-6.2318e-09,107.41,1,7.6e-06,0.01,7.6e-06,5e-05
0.74366,-7.4259e-08,-6.3138e-09,107.41,1,7.7e-06,0.01,7.7e-06,5e-05
0.75332,-7.5223e-08,-6.3958e-09,107.41,1,7.8e-06,0.01,7.8e-06,5e-05
0.76298,-7.6188e-08,-6.4778e-09,107.41,1,7.9e-06,0.01,7.9e-06,5e-05
0.77264,-7.7152e-08,-6.5598e-09,107.41,1,8e-06,0.01,8e-06,5e-05
0.7823,-7.8117e-08,-6.6418e-09,107.41,1,8.1e-06,0.01,8.1e-06,5e-05
0.79195,-7.9081e-08,-6.7238e-09,107.41,1,8.2e-06,0.01,8.2e-06,5e-05
0.80161,-8.0045e-08,-6.8058e-09,107.41,1,8.3e-06,0.01,8.3e-06,5e-05
0.81127,-8.101e-08,-6.8878e-09,107.41,1,8.4e-06,0.01,8.4e-06,5e-05
0.82093,-8.1974e-08,-6.9698e-09,107.41,1,8.5e-06,0.01,8.5e-06,5e-05
0.83059,-8.2939e-08,-7.0518e-09,107.41,1,8.6e-06,0.01,8.6e-06,5e-05
0.84024,-8.3903e-08,-7.1338e-09,107.41,1,8.7e-06,0.01,8.7e-06,5e-05
0.8499,-8.4867e-08,-7.2158e-09,107.41,1,8.8e-06,0.01,8.8e-06,5e-05
0.85956,-8.5832e-08,-7.2978e-09,107.41,1,8.9e-06,0.01,8.9e-06,5e-05
0.86922,-8.6796e-08,-7.3798e-09,107.41,1,9e-06,0.01,9e-06,5e-05
0.87888,-8.7761e-08,-7.4618e-09,107.41,1,9.1e-06,0.01,9.1e-06,5e-05
