"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,114.37,1,0,0.01,0,5e-05
0.011615,-1.032e-11,7.9073e-11,114.37,1,1e-07,0.01,1e-07,5e-05
0.02323,-2.064e-11,1.5815e-10,114.37,1,2e-07,0.01,2e-07,5e-05
0.034845,-3.0959e-11,2.3722e-10,114.37,1,3e-07,0.01,3e-07,5e-05
0.04646,-4.1279e-11,3.1629e-10,114.37,1,4e-07,0.01,4e-07,5e-05
0.058075,-5.1599e-11,3.9536e-10,114.37,1,5e-07,0.01,5e-07,5e-05
0.06969,-6.1919e-11,4.7444e-10,114.37,1,6e-07,0.01,6e-07,5e-05
0.081305,-7.2238e-11,5.5351e-10,114.37,1,7e-07,0.01,7e-07,5e-05
0.09292,-8.2558e-11,6.3258e-10,114.37,1,8e-07,0.01,8e-07,5e-05
0.10454,-9.2878e-11,7.1165e-10,114.37,1,9e-07,0.01,9e-07,5e-05
0.11615,-1.032e-10,7.9073e-10,114.37,1,1e-06,0.01,1e-06,5e-05
0.12777,-1.1352e-10,8.698e-10,114.37,1,1.1e-06,0.01,1.1e-06,5e-05
0.13938,-1.2384e-10,9.4887e-10,114.37,1,1.2e-06,0.01,1.2e-06,5e-05
0.151,-1.3416e-10,1.0279e-09,114.37,1,1.3e-06,0.01,1.3e-06,5e-05
0.16261,-1.4448e-10,1.107e-09,114.37,1,1.4e-06,0.01,1.4e-06,5e-05
0.17423,-1.548e-10,1.1861e-09,114.37,1,1.5e-06,0.01,1.5e-06,5e-05
0.18584,-1.6512e-10,1.2652e-09,114.37,1,1.6e-06,0.01,1.6e-06,5e-05
0.19746,-1.7544e-10,1.3442e-09,114.37,1,1.7e-06,0.01,1.7e-06,5e-05
0.20907,-1.8576e-10,1.4233e-09,114.37,1,1.8e-06,0.01,1.8e-06,5e-05
0.22069,-1.9608e-10,1.5024e-09,114.37,1,1.9e-06,0.01,1.9e-06,5e-05
0.2323,-2.064e-10,1.5815e-09,114.37,1,2e-06,0.01,2e-06,5e-05
0.24392,-2.1671e-10,1.6605e-09,114.37,1,2.1e-06,0.01,2.1e-06,5e-05
0.25553,-2.2703e-10,1.7396e-09,114.37,1,2.2e-06,0.01,2.2e-06,5e-05
0.26715,-2.3735e-10,1.8187e-09,114.37,1,2.3e-06,0.01,2.3e-06,5e-05
0.27876,-2.4767e-10,1.8977e-09,114.37,1,2.4e-06,0.01,2.4e-06,5e-05
0.29038,-2.5799e-10,1.9768e-09,114.37,1,2.5e-06,0.01,2.5e-06,5e-05
0.30199,-2.6831e-10,2.0559e-09,114.37,1,2.6e-06,0.01,2.6e-06,5e-05
0.31361,-2.7863e-10,2.135e-09,114.37,1,2.7e-06,0.01,2.7e-06,5e-05
0.32522,-2.8895e-10,2.214e-09,114.37,1,2.8e-06,0.01,2.8e-06,5e-05
0.33684,-2.9927e-10,2.2931e-09,114.37,1,2.9e-06,0.01,2.9e-06,5e-05
0.34845,-3.0959e-10,2.3722e-09,114.37,1,3e-06,0.01,3e-06,5e-05
0.36007,-3.1991e-10,2.4512e-09,114.37,1,3.1e-06,0.01,3.1e-06,5e-05
0.37168,-3.3023e-10,2.5303e-09,114.37,1,3.2e-06,0.01,3.2e-06,5e-05
