"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,41.392,1,0,0.01,0,5e-05
0.009658,-3.7899e-10,-9.1805e-11,41.392,1,1e-07,0.01,1e-07,5e-05
0.019316,-7.5799e-10,-1.8361e-10,41.392,1,2e-07,0.01,2e-07,5e-05
0.028974,-1.137e-09,-2.7542e-10,41.392,1,3e-07,0.01,3e-07,5e-05
0.038632,-1.516e-09,-3.6722e-10,41.392,1,4e-07,0.01,4e-07,5e-05
0.04829,-1.895e-09,-4.5903e-10,41.392,1,5e-07,0.01,5e-07,5e-05
0.057948,-2.274e-09,-5.5083e-10,41.392,1,6e-07,0.01,6e-07,5e-05
0.067606,-2.653e-09,-6.4264e-10,41.392,1,7e-07,0.01,7e-07,5e-05
0.077264,-3.032e-09,-7.3444e-10,41.392,1,8e-07,0.01,8e-07,5e-05
0.086922,-3.411e-09,-8.2625e-10,41.392,1,9e-07,0.01,9e-07,5e-05
0.09658,-3.7899e-09,-9.1805e-10,41.392,1,1e-06,0.01,1e-06,5e-05
0.10624,-4.1689e-09,-1.0099e-09,41.392,1,1.1e-06,0.01,1.1e-06,5e-05
0.1159,-4.5479e-09,-1.1017e-09,41.392,1,1.2e-06,0.01,1.2e-06,5e-05
0.12555,-4.9269e-09,-1.1935e-09,41.392,1,1.3e-06,0.01,1.3e-06,5e-05
0.13521,-5.3059e-09,-1.2853e-09,41.392,1,1.4e-06,0.01,1.4e-06,5e-05
0.14487,-5.6849e-09,-1.3771e-09,41.392,1,1.5e-06,0.01,1.5e-06,5e-05
0.15453,-6.0639e-09,-1.4689e-09,41.392,1,1.6e-06,0.01,1.6e-06,5e-05
0.16419,-6.4429e-09,-1.5607e-09,41.392,1,1.7e-06,0.01,1.7e-06,5e-05
0.17384,-6.8219e-09,-1.6525e-09,41.392,1,1.8e-06,0.01,1.8e-06,5e-05
0.1835,-7.2009e-09,-1.7443e-09,41.392,1,1.9e-06,0.01,1.9e-06,5e-05
