"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,44.072,1,0,0.01,0,5e-05
0.011615,1.6708e-11,3.8147e-11,44.072,1,1e-07,0.01,1e-07,5e-05
0.02323,3.3416e-11,7.6294e-11,44.072,1,2e-07,0.01,2e-07,5e-05
0.034845,5.0124e-11,1.1444e-10,44.072,1,3e-07,0.01,3e-07,5e-05
0.04646,6.6833e-11,1.5259e-10,44.072,1,4e-07,0.01,4e-07,5e-05
0.058075,8.3541e-11,1.9074e-10,44.072,1,5e-07,0.01,5e-07,5e-05
0.06969,1.0025e-10,2.2888e-10,44.072,1,6e-07,0.01,6e-07,5e-05
0.081305,1.1696e-10,2.6703e-10,44.072,1,7e-07,0.01,7e-07,5e-05
0.09292,1.3367e-10,3.0518e-10,44.072,1,8e-07,0.01,8e-07,5e-05
0.10454,1.5037e-10,3.4332e-10,44.072,1,9e-07,0.01,9e-07,5e-05
0.11615,1.6708e-10,3.8147e-10,44.072,1,1e-06,0.01,1e-06,5e-05
0.12777,1.8379e-10,4.1962e-10,44.072,1,1.1e-06,0.01,1.1e-06,5e-05
0.13938,2.005e-10,4.5776e-10,44.072,1,1.2e-06,0.01,1.2e-06,5e-05
0.151,2.1721e-10,4.9591e-10,44.072,1,1.3e-06,0.01,1.3e-06,5e-05
0.16261,2.3391e-10,5.3406e-10,44.072,1,1.4e-06,0.01,1.4e-06,5e-05
0.17423,2.5062e-10,5.7221e-10,44.072,1,1.5e-06,0.01,1.5e-06,5e-05
0.18584,2.6733e-10,6.1035e-10,44.072,1,1.6e-06,0.01,1.6e-06,5e-05
0.19746,2.8404e-10,6.485e-10,44.072,1,1.7e-06,0.01,1.7e-06,5e-05
0.20907,3.0075e-10,6.8665e-10,44.072,1,1.8e-06,0.01,1.8e-06,5e-05
0.22069,3.1745e-10,7.2479e-10,44.072,1,1.9e-06,0.01,1.9e-06,5e-05
0.2323,3.3416e-10,7.6294e-10,44.072,1,2e-06,0.01,2e-06,5e-05
0.24392,3.5087e-10,8.0109e-10,44.072,1,2.1e-06,0.01,2.1e-06,5e-05
0.25553,3.6758e-10,8.3923e-10,44.072,1,2.2e-06,0.01,2.2e-06,5e-05
0.26715,3.8429e-10,8.7738e-10,44.072,1,2.3e-06,0.01,2.3e-06,5e-05
0.27876,4.01e-10,9.1553e-10,44.072,1,2.4e-06,0.01,2.4e-06,5e-05
0.29038,4.177e-10,9.5368e-10,44.072,1,2.5e-06,0.01,2.5e-06,5e-05
0.30199,4.3441e-10,9.9182e-10,44.072,1,2.6e-06,0.01,2.6e-06,5e-05
0.31361,4.5112e-10,1.03e-09,44.072,1,2.7e-06,0.01,2.7e-06,5e-05
0.32522,4.6783e-10,1.0681e-09,44.072,1,2.8e-06,0.01,2.8e-06,5e-05
0.33684,4.8454e-10,1.1063e-09,44.072,1,2.9e-06,0.01,2.9e-06,5e-05
0.34845,5.0124e-10,1.1444e-09,44.072,1,3e-06,0.01,3e-06,5e-05
0.36007,5.1795e-10,1.1826e-09,44.072,1,3.1e-06,0.01,3.1e-06,5e-05
0.37168,5.3466e-10,1.2207e-09,44.072,1,3.2e-06,0.01,3.2e-06,5e-05
0.3833,5.5137e-10,1.2589e-09,44.072,1,3.3e-06,0.01,3.3e-06,5e-05
