"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,4.6526,1,0,0.01,0,5e-05
0.0014062,-4.6878e-11,6.7048e-11,4.6526,1,1e-07,0.01,1e-07,5e-05
0.0028124,-9.3757e-11,1.341e-10,4.6526,1,2e-07,0.01,2e-07,5e-05
0.0042187,-1.4064e-10,2.0114e-10,4.6526,1,3e-07,0.01,3e-07,5e-05
0.0056249,-1.8751e-10,2.6819e-10,4.6526,1,4e-07,0.01,4e-07,5e-05
0.0070311,-2.3439e-10,3.3524e-10,4.6526,1,5e-07,0.01,5e-07,5e-05
0.0084373,-2.8127e-10,4.0229e-10,4.6526,1,6e-07,0.01,6e-07,5e-05
0.0098435,-3.2815e-10,4.6933e-10,4.6526,1,7e-07,0.01,7e-07,5e-05
0.01125,-3.7503e-10,5.3638e-10,4.6526,1,8e-07,0.01,8e-07,5e-05
0.012656,-4.2191e-10,6.0343e-10,4.6526,1,9e-07,0.01,9e-07,5e-05
0.014062,-4.6878e-10,6.7048e-10,4.6526,1,1e-06,0.01,1e-06,5e-05
0.015468,-5.1566e-10,7.3753e-10,4.6526,1,1.1e-06,0.01,1.1e-06,5e-05
0.016875,-5.6254e-10,8.0457e-10,4.6526,1,1.2e-06,0.01,1.2e-06,5e-05
0.018281,-6.0942e-10,8.7162e-10,4.6526,1,1.3e-06,0.01,1.3e-06,5e-05
0.019687,-6.563e-10,9.3867e-10,4.6526,1,1.4e-06,0.01,1.4e-06,5e-05
0.021093,-7.0318e-10,1.0057e-09,4.6526,1,1.5e-06,0.01,1.5e-06,5e-05
0.0225,-7.5005e-10,1.0728e-09,4.6526,1,1.6e-06,0.01,1.6e-06,5e-05
0.023906,-7.9693e-10,1.1398e-09,4.6526,1,1.7e-06,0.01,1.7e-06,5e-05
0.025312,-8.4381e-10,1.2069e-09,4.6526,1,1.8e-06,0.01,1.8e-06,5e-05
0.026718,-8.9069e-10,1.2739e-09,4.6526,1,1.9e-06,0.01,1.9e-06,5e-05
0.028124,-9.3757e-10,1.341e-09,4.6526,1,2e-06,0.01,2e-06,5e-05
0.029531,-9.8444e-10,1.408e-09,4.6526,1,2.1e-06,0.01,2.1e-06,5e-05
0.030937,-1.0313e-09,1.4751e-09,4.6526,1,2.2e-06,0.01,2.2e-06,5e-05
0.032343,-1.0782e-09,1.5421e-09,4.6526,1,2.3e-06,0.01,2.3e-06,5e-05
0.033749,-1.1251e-09,1.6091e-09,4.6526,1,2.4e-06,0.01,2.4e-06,5e-05
0.035155,-1.172e-09,1.6762e-09,4.6526,1,2.5e-06,0.01,2.5e-06,5e-05
0.036562,-1.2188e-09,1.7432e-09,4.6526,1,2.6e-06,0.01,2.6e-06,5e-05
0.037968,-1.2657e-09,1.8103e-09,4.6526,1,2.7e-06,0.01,2.7e-06,5e-05
0.039374,-1.3126e-09,1.8773e-09,4.6526,1,2.8e-06,0.01,2.8e-06,5e-05
0.04078,-1.3595e-09,1.9444e-09,4.6526,1,2.9e-06,0.01,2.9e-06,5e-05
0.042187,-1.4064e-09,2.0114e-09,4.6526,1,3e-06,0.01,3e-06,5e-05
0.043593,-1.4532e-09,2.0785e-09,4.6526,1,3.1e-06,0.01,3.1e-06,5e-05
0.044999,-1.5001e-09,2.1455e-09,4.6526,1,3.2e-06,0.01,3.2e-06,5e-05
0.046405,-1.547e-09,2.2126e-09,4.6526,1,3.3e-06,0.01,3.3e-06,5e-05
0.047811,-1.5939e-09,2.2796e-09,4.6526,1,3.4e-06,0.01,3.4e-06,5e-05
0.049218,-1.6407e-09,2.3467e-09,4.6526,1,3.5e-06,0.01,3.5e-06,5e-05
0.050624,-1.6876e-09,2.4137e-09,4.6526,1,3.6e-06,0.01,3.6e-06,5e-05
0.05203,-1.7345e-09,2.4808e-09,4.6526,1,3.7e-06,0.01,3.7e-06,5e-05
0.053436,-1.7814e-09,2.5478e-09,4.6526,1,3.8e-06,0.01,3.8e-06,5e-05
0.054843,-1.8283e-09,2.6149e-09,4.6526,1,3.9e-06,0.01,3.9e-06,5e-05
0.056249,-1.8751e-09,2.6819e-09,4.6526,1,4e-06,0.01,4e-06,5e-05
0.057655,-1.922e-09,2.749e-09,4.6526,1,4.1e-06,0.01,4.1e-06,5e-05
0.059061,-1.9689e-09,2.816e-09,4.6526,1,4.2e-06,0.01,4.2e-06,5e-05
0.060467,-2.0158e-09,2.8831e-09,4.6526,1,4.3e-06,0.01,4.3e-06,5e-05
0.061874,-2.0626e-09,2.9501e-09,4.6526,1,4.4e-06,0.01,4.4e-06,5e-05
0.06328,-2.1095e-09,3.0172e-09,4.6526,1,4.5e-06,0.01,4.5e-06,5e-05
0.064686,-2.1564e-09,3.0842e-09,4.6526,1,4.6e-06,0.01,4.6e-06,5e-05
0.066092,-2.2033e-09,3.1512e-09,4.6526,1,4.7e-06,0.01,4.7e-06,5e-05
0.067499,-2.2502e-09,3.2183e-09,4.6526,1,4.8e-06,0.01,4.8e-06,5e-05
