"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.45701,1,0,0.01,0,5e-05
0.00013174,5.3456e-13,2.2538e-13,0.45701,1,1e-07,0.01,1e-07,5e-05
0.00026349,1.0691e-12,4.5077e-13,0.45701,1,2e-07,0.01,2e-07,5e-05
0.00039523,1.6037e-12,6.7615e-13,0.45701,1,3e-07,0.01,3e-07,5e-05
0.00052698,2.1383e-12,9.0153e-13,0.45701,1,4e-07,0.01,4e-07,5e-05
0.00065872,2.6728e-12,1.1269e-12,0.45701,1,5e-07,0.01,5e-07,5e-05
0.00079047,3.2074e-12,1.3523e-12,0.45701,1,6e-07,0.01,6e-07,5e-05
0.00092221,3.7419e-12,1.5777e-12,0.45701,1,7e-07,0.01,7e-07,5e-05
0.001054,4.2765e-12,1.8031e-12,0.45701,1,8e-07,0.01,8e-07,5e-05
0.0011857,4.8111e-12,2.0285e-12,0.45701,1,9e-07,0.01,9e-07,5e-05
0.0013174,5.3456e-12,2.2538e-12,0.45701,1,1e-06,0.01,1e-06,5e-05
0.0014492,5.8802e-12,2.4792e-12,0.45701,1,1.1e-06,0.01,1.1e-06,5e-05
0.0015809,6.4148e-12,2.7046e-12,0.45701,1,1.2e-06,0.01,1.2e-06,5e-05
0.0017127,6.9493e-12,2.93e-12,0.45701,1,1.3e-06,0.01,1.3e-06,5e-05
0.0018444,7.4839e-12,3.1554e-12,0.45701,1,1.4e-06,0.01,1.4e-06,5e-05
0.0019762,8.0184e-12,3.3808e-12,0.45701,1,1.5e-06,0.01,1.5e-06,5e-05
0.0021079,8.553e-12,3.6061e-12,0.45701,1,1.6e-06,0.01,1.6e-06,5e-05
0.0022397,9.0876e-12,3.8315e-12,0.45701,1,1.7e-06,0.01,1.7e-06,5e-05
0.0023714,9.6221e-12,4.0569e-12,0.45701,1,1.8e-06,0.01,1.8e-06,5e-05
0.0025032,1.0157e-11,4.2823e-12,0.45701,1,1.9e-06,0.01,1.9e-06,5e-05
0.0026349,1.0691e-11,4.5077e-12,0.45701,1,2e-06,0.01,2e-06,5e-05
0.0027666,1.1226e-11,4.7331e-12,0.45701,1,2.1e-06,0.01,2.1e-06,5e-05
0.0028984,1.176e-11,4.9584e-12,0.45701,1,2.2e-06,0.01,2.2e-06,5e-05
0.0030301,1.2295e-11,5.1838e-12,0.45701,1,2.3e-06,0.01,2.3e-06,5e-05
0.0031619,1.283e-11,5.4092e-12,0.45701,1,2.4e-06,0.01,2.4e-06,5e-05
0.0032936,1.3364e-11,5.6346e-12,0.45701,1,2.5e-06,0.01,2.5e-06,5e-05
0.0034254,1.3899e-11,5.86e-12,0.45701,1,2.6e-06,0.01,2.6e-06,5e-05
0.0035571,1.4433e-11,6.0854e-12,0.45701,1,2.7e-06,0.01,2.7e-06,5e-05
0.0036889,1.4968e-11,6.3107e-12,0.45701,1,2.8e-06,0.01,2.8e-06,5e-05
0.0038206,1.5502e-11,6.5361e-12,0.45701,1,2.9e-06,0.01,2.9e-06,5e-05
0.0039523,1.6037e-11,6.7615e-12,0.45701,1,3e-06,0.01,3e-06,5e-05
0.0040841,1.6571e-11,6.9869e-12,0.45701,1,3.1e-06,0.01,3.1e-06,5e-05
