"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.041391,1,0,0.01,0,5e-05
9.6581e-06,3.9008e-13,-2.0754e-13,0.041391,1,1e-07,0.01,1e-07,5e-05
1.9316e-05,7.8017e-13,-4.1508e-13,0.041391,1,2e-07,0.01,2e-07,5e-05
2.8974e-05,1.1703e-12,-6.2261e-13,0.041391,1,3e-07,0.01,3e-07,5e-05
3.8632e-05,1.5603e-12,-8.3015e-13,0.041391,1,4e-07,0.01,4e-07,5e-05
4.8291e-05,1.9504e-12,-1.0377e-12,0.041391,1,5e-07,0.01,5e-07,5e-05
5.7949e-05,2.3405e-12,-1.2452e-12,0.041391,1,6e-07,0.01,6e-07,5e-05
6.7607e-05,2.7306e-12,-1.4528e-12,0.041391,1,7e-07,0.01,7e-07,5e-05
7.7265e-05,3.1207e-12,-1.6603e-12,0.041391,1,8e-07,0.01,8e-07,5e-05
8.6923e-05,3.5108e-12,-1.8678e-12,0.041391,1,9e-07,0.01,9e-07,5e-05
9.6581e-05,3.9008e-12,-2.0754e-12,0.041391,1,1e-06,0.01,1e-06,5e-05
0.00010624,4.2909e-12,-2.2829e-12,0.041391,1,1.1e-06,0.01,1.1e-06,5e-05
0.0001159,4.681e-12,-2.4905e-12,0.041391,1,1.2e-06,0.01,1.2e-06,5e-05
0.00012556,5.0711e-12,-2.698e-12,0.041391,1,1.3e-06,0.01,1.3e-06,5e-05
0.00013521,5.4612e-12,-2.9055e-12,0.041391,1,1.4e-06,0.01,1.4e-06,5e-05
0.00014487,5.8513e-12,-3.1131e-12,0.041391,1,1.5e-06,0.01,1.5e-06,5e-05
0.00015453,6.2414e-12,-3.3206e-12,0.041391,1,1.6e-06,0.01,1.6e-06,5e-05
0.00016419,6.6314e-12,-3.5281e-12,0.041391,1,1.7e-06,0.01,1.7e-06,5e-05
0.00017385,7.0215e-12,-3.7357e-12,0.041391,1,1.8e-06,0.01,1.8e-06,5e-05
0.0001835,7.4116e-12,-3.9432e-12,0.041391,1,1.9e-06,0.01,1.9e-06,5e-05
0.00019316,7.8017e-12,-4.1508e-12,0.041391,1,2e-06,0.01,2e-06,5e-05
0.00020282,8.1918e-12,-4.3583e-12,0.041391,1,2.1e-06,0.01,2.1e-06,5e-05
0.00021248,8.5819e-12,-4.5658e-12,0.041391,1,2.2e-06,0.01,2.2e-06,5e-05
0.00022214,8.9719e-12,-4.7734e-12,0.041391,1,2.3e-06,0.01,2.3e-06,5e-05
0.00023179,9.362e-12,-4.9809e-12,0.041391,1,2.4e-06,0.01,2.4e-06,5e-05
0.00024145,9.7521e-12,-5.1884e-12,0.041391,1,2.5e-06,0.01,2.5e-06,5e-05
0.00025111,1.0142e-11,-5.396e-12,0.041391,1,2.6e-06,0.01,2.6e-06,5e-05
0.00026077,1.0532e-11,-5.6035e-12,0.041391,1,2.7e-06,0.01,2.7e-06,5e-05
0.00027043,1.0922e-11,-5.8111e-12,0.041391,1,2.8e-06,0.01,2.8e-06,5e-05
0.00028009,1.1312e-11,-6.0186e-12,0.041391,1,2.9e-06,0.01,2.9e-06,5e-05
0.00028974,1.1703e-11,-6.2261e-12,0.041391,1,3e-06,0.01,3e-06,5e-05
0.0002994,1.2093e-11,-6.4337e-12,0.041391,1,3.1e-06,0.01,3.1e-06,5e-05
