"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,10.741,1,0,0.01,0,5e-05
0.0009658,-3.7008e-11,-2.0164e-11,10.741,1,1e-07,0.01,1e-07,5e-05
0.0019316,-7.4016e-11,-4.0328e-11,10.741,1,2e-07,0.01,2e-07,5e-05
0.0028974,-1.1102e-10,-6.0492e-11,10.741,1,3e-07,0.01,3e-07,5e-05
0.0038632,-1.4803e-10,-8.0656e-11,10.741,1,4e-07,0.01,4e-07,5e-05
0.004829,-1.8504e-10,-1.0082e-10,10.741,1,5e-07,0.01,5e-07,5e-05
0.0057948,-2.2205e-10,-1.2098e-10,10.741,1,6e-07,0.01,6e-07,5e-05
0.0067606,-2.5906e-10,-1.4115e-10,10.741,1,7e-07,0.01,7e-07,5e-05
0.0077264,-2.9607e-10,-1.6131e-10,10.741,1,8e-07,0.01,8e-07,5e-05
0.0086922,-3.3307e-10,-1.8148e-10,10.741,1,9e-07,0.01,9e-07,5e-05
0.009658,-3.7008e-10,-2.0164e-10,10.741,1,1e-06,0.01,1e-06,5e-05
0.010624,-4.0709e-10,-2.218e-10,10.741,1,1.1e-06,0.01,1.1e-06,5e-05
0.01159,-4.441e-10,-2.4197e-10,10.741,1,1.2e-06,0.01,1.2e-06,5e-05
0.012555,-4.8111e-10,-2.6213e-10,10.741,1,1.3e-06,0.01,1.3e-06,5e-05
0.013521,-5.1812e-10,-2.8229e-10,10.741,1,1.4e-06,0.01,1.4e-06,5e-05
0.014487,-5.5512e-10,-3.0246e-10,10.741,1,1.5e-06,0.01,1.5e-06,5e-05
0.015453,-5.9213e-10,-3.2262e-10,10.741,1,1.6e-06,0.01,1.6e-06,5e-05
0.016419,-6.2914e-10,-3.4279e-10,10.741,1,1.7e-06,0.01,1.7e-06,5e-05
0.017384,-6.6615e-10,-3.6295e-10,10.741,1,1.8e-06,0.01,1.8e-06,5e-05
0.01835,-7.0316e-10,-3.8311e-10,10.741,1,1.9e-06,0.01,1.9e-06,5e-05
0.019316,-7.4016e-10,-4.0328e-10,10.741,1,2e-06,0.01,2e-06,5e-05
0.020282,-7.7717e-10,-4.2344e-10,10.741,1,2.1e-06,0.01,2.1e-06,5e-05
0.021248,-8.1418e-10,-4.4361e-10,10.741,1,2.2e-06,0.01,2.2e-06,5e-05
0.022213,-8.5119e-10,-4.6377e-10,10.741,1,2.3e-06,0.01,2.3e-06,5e-05
