"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1.1859,1,0,0.01,0,5e-05
0.00013175,9.3071e-13,1.042e-13,1.1859,1,1e-07,0.01,1e-07,5e-05
0.00026349,1.8614e-12,2.0839e-13,1.1859,1,2e-07,0.01,2e-07,5e-05
0.00039524,2.7921e-12,3.1259e-13,1.1859,1,3e-07,0.01,3e-07,5e-05
0.00052698,3.7229e-12,4.1678e-13,1.1859,1,4e-07,0.01,4e-07,5e-05
0.00065873,4.6536e-12,5.2098e-13,1.1859,1,5e-07,0.01,5e-07,5e-05
0.00079047,5.5843e-12,6.2518e-13,1.1859,1,6e-07,0.01,6e-07,5e-05
0.00092222,6.515e-12,7.2937e-13,1.1859,1,7e-07,0.01,7e-07,5e-05
0.001054,7.4457e-12,8.3357e-13,1.1859,1,8e-07,0.01,8e-07,5e-05
0.0011857,8.3764e-12,9.3776e-13,1.1859,1,9e-07,0.01,9e-07,5e-05
0.0013175,9.3071e-12,1.042e-12,1.1859,1,1e-06,0.01,1e-06,5e-05
0.0014492,1.0238e-11,1.1462e-12,1.1859,1,1.1e-06,0.01,1.1e-06,5e-05
0.0015809,1.1169e-11,1.2504e-12,1.1859,1,1.2e-06,0.01,1.2e-06,5e-05
0.0017127,1.2099e-11,1.3545e-12,1.1859,1,1.3e-06,0.01,1.3e-06,5e-05
0.0018444,1.303e-11,1.4587e-12,1.1859,1,1.4e-06,0.01,1.4e-06,5e-05
0.0019762,1.3961e-11,1.5629e-12,1.1859,1,1.5e-06,0.01,1.5e-06,5e-05
0.0021079,1.4891e-11,1.6671e-12,1.1859,1,1.6e-06,0.01,1.6e-06,5e-05
0.0022397,1.5822e-11,1.7713e-12,1.1859,1,1.7e-06,0.01,1.7e-06,5e-05
0.0023714,1.6753e-11,1.8755e-12,1.1859,1,1.8e-06,0.01,1.8e-06,5e-05
0.0025032,1.7684e-11,1.9797e-12,1.1859,1,1.9e-06,0.01,1.9e-06,5e-05
0.0026349,1.8614e-11,2.0839e-12,1.1859,1,2e-06,0.01,2e-06,5e-05
0.0027666,1.9545e-11,2.1881e-12,1.1859,1,2.1e-06,0.01,2.1e-06,5e-05
0.0028984,2.0476e-11,2.2923e-12,1.1859,1,2.2e-06,0.01,2.2e-06,5e-05
0.0030301,2.1406e-11,2.3965e-12,1.1859,1,2.3e-06,0.01,2.3e-06,5e-05
0.0031619,2.2337e-11,2.5007e-12,1.1859,1,2.4e-06,0.01,2.4e-06,5e-05
0.0032936,2.3268e-11,2.6049e-12,1.1859,1,2.5e-06,0.01,2.5e-06,5e-05
0.0034254,2.4199e-11,2.7091e-12,1.1859,1,2.6e-06,0.01,2.6e-06,5e-05
0.0035571,2.5129e-11,2.8133e-12,1.1859,1,2.7e-06,0.01,2.7e-06,5e-05
0.0036889,2.606e-11,2.9175e-12,1.1859,1,2.8e-06,0.01,2.8e-06,5e-05
0.0038206,2.6991e-11,3.0217e-12,1.1859,1,2.9e-06,0.01,2.9e-06,5e-05
0.0039524,2.7921e-11,3.1259e-12,1.1859,1,3e-06,0.01,3e-06,5e-05
0.0040841,2.8852e-11,3.2301e-12,1.1859,1,3.1e-06,0.01,3.1e-06,5e-05
0.0042158,2.9783e-11,3.3343e-12,1.1859,1,3.2e-06,0.01,3.2e-06,5e-05
0.0043476,3.0714e-11,3.4385e-12,1.1859,1,3.3e-06,0.01,3.3e-06,5e-05
0.0044793,3.1644e-11,3.5427e-12,1.1859,1,3.4e-06,0.01,3.4e-06,5e-05
0.0046111,3.2575e-11,3.6469e-12,1.1859,1,3.5e-06,0.01,3.5e-06,5e-05
0.0047428,3.3506e-11,3.7511e-12,1.1859,1,3.6e-06,0.01,3.6e-06,5e-05
0.0048746,3.4436e-11,3.8552e-12,1.1859,1,3.7e-06,0.01,3.7e-06,5e-05
0.0050063,3.5367e-11,3.9594e-12,1.1859,1,3.8e-06,0.01,3.8e-06,5e-05
0.0051381,3.6298e-11,4.0636e-12,1.1859,1,3.9e-06,0.01,3.9e-06,5e-05
0.0052698,3.7229e-11,4.1678e-12,1.1859,1,4e-06,0.01,4e-06,5e-05
0.0054015,3.8159e-11,4.272e-12,1.1859,1,4.1e-06,0.01,4.1e-06,5e-05
0.0055333,3.909e-11,4.3762e-12,1.1859,1,4.2e-06,0.01,4.2e-06,5e-05
0.005665,4.0021e-11,4.4804e-12,1.1859,1,4.3e-06,0.01,4.3e-06,5e-05
0.0057968,4.0951e-11,4.5846e-12,1.1859,1,4.4e-06,0.01,4.4e-06,5e-05
0.0059285,4.1882e-11,4.6888e-12,1.1859,1,4.5e-06,0.01,4.5e-06,5e-05
0.0060603,4.2813e-11,4.793e-12,1.1859,1,4.6e-06,0.01,4.6e-06,5e-05
0.006192,4.3744e-11,4.8972e-12,1.1859,1,4.7e-06,0.01,4.7e-06,5e-05
0.0063238,4.4674e-11,5.0014e-12,1.1859,1,4.8e-06,0.01,4.8e-06,5e-05
0.0064555,4.5605e-11,5.1056e-12,1.1859,1,4.9e-06,0.01,4.9e-06,5e-05
0.0065873,4.6536e-11,5.2098e-12,1.1859,1,5e-06,0.01,5e-06,5e-05
0.006719,4.7466e-11,5.314e-12,1.1859,1,5.1e-06,0.01,5.1e-06,5e-05
