"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,1.1437,1,0,0.01,0,5e-05
0.00011615,3.0804e-12,1.3618e-12,1.1437,1,1e-07,0.01,1e-07,5e-05
0.0002323,6.1608e-12,2.7236e-12,1.1437,1,2e-07,0.01,2e-07,5e-05
0.00034845,9.2412e-12,4.0854e-12,1.1437,1,3e-07,0.01,3e-07,5e-05
0.0004646,1.2322e-11,5.4472e-12,1.1437,1,4e-07,0.01,4e-07,5e-05
0.00058075,1.5402e-11,6.809e-12,1.1437,1,5e-07,0.01,5e-07,5e-05
0.0006969,1.8482e-11,8.1708e-12,1.1437,1,6e-07,0.01,6e-07,5e-05
0.00081305,2.1563e-11,9.5326e-12,1.1437,1,7e-07,0.01,7e-07,5e-05
0.0009292,2.4643e-11,1.0894e-11,1.1437,1,8e-07,0.01,8e-07,5e-05
0.0010454,2.7724e-11,1.2256e-11,1.1437,1,9e-07,0.01,9e-07,5e-05
0.0011615,3.0804e-11,1.3618e-11,1.1437,1,1e-06,0.01,1e-06,5e-05
0.0012777,3.3884e-11,1.498e-11,1.1437,1,1.1e-06,0.01,1.1e-06,5e-05
0.0013938,3.6965e-11,1.6342e-11,1.1437,1,1.2e-06,0.01,1.2e-06,5e-05
0.00151,4.0045e-11,1.7703e-11,1.1437,1,1.3e-06,0.01,1.3e-06,5e-05
0.0016261,4.3126e-11,1.9065e-11,1.1437,1,1.4e-06,0.01,1.4e-06,5e-05
0.0017423,4.6206e-11,2.0427e-11,1.1437,1,1.5e-06,0.01,1.5e-06,5e-05
0.0018584,4.9287e-11,2.1789e-11,1.1437,1,1.6e-06,0.01,1.6e-06,5e-05
0.0019746,5.2367e-11,2.3151e-11,1.1437,1,1.7e-06,0.01,1.7e-06,5e-05
0.0020907,5.5447e-11,2.4512e-11,1.1437,1,1.8e-06,0.01,1.8e-06,5e-05
0.0022069,5.8528e-11,2.5874e-11,1.1437,1,1.9e-06,0.01,1.9e-06,5e-05
0.002323,6.1608e-11,2.7236e-11,1.1437,1,2e-06,0.01,2e-06,5e-05
0.0024392,6.4689e-11,2.8598e-11,1.1437,1,2.1e-06,0.01,2.1e-06,5e-05
0.0025553,6.7769e-11,2.9959e-11,1.1437,1,2.2e-06,0.01,2.2e-06,5e-05
0.0026715,7.0849e-11,3.1321e-11,1.1437,1,2.3e-06,0.01,2.3e-06,5e-05
0.0027876,7.393e-11,3.2683e-11,1.1437,1,2.4e-06,0.01,2.4e-06,5e-05
0.0029038,7.701e-11,3.4045e-11,1.1437,1,2.5e-06,0.01,2.5e-06,5e-05
