"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.12074,1,0,0.01,0,5e-05
1.4062e-05,1.8015e-13,8.2829e-13,0.12074,1,1e-07,0.01,1e-07,5e-05
2.8125e-05,3.603e-13,1.6566e-12,0.12074,1,2e-07,0.01,2e-07,5e-05
4.2187e-05,5.4044e-13,2.4849e-12,0.12074,1,3e-07,0.01,3e-07,5e-05
5.6249e-05,7.2059e-13,3.3132e-12,0.12074,1,4e-07,0.01,4e-07,5e-05
7.0311e-05,9.0074e-13,4.1415e-12,0.12074,1,5e-07,0.01,5e-07,5e-05
8.4374e-05,1.0809e-12,4.9697e-12,0.12074,1,6e-07,0.01,6e-07,5e-05
9.8436e-05,1.261e-12,5.798e-12,0.12074,1,7e-07,0.01,7e-07,5e-05
0.0001125,1.4412e-12,6.6263e-12,0.12074,1,8e-07,0.01,8e-07,5e-05
0.00012656,1.6213e-12,7.4546e-12,0.12074,1,9e-07,0.01,9e-07,5e-05
0.00014062,1.8015e-12,8.2829e-12,0.12074,1,1e-06,0.01,1e-06,5e-05
0.00015468,1.9816e-12,9.1112e-12,0.12074,1,1.1e-06,0.01,1.1e-06,5e-05
0.00016875,2.1618e-12,9.9395e-12,0.12074,1,1.2e-06,0.01,1.2e-06,5e-05
0.00018281,2.3419e-12,1.0768e-11,0.12074,1,1.3e-06,0.01,1.3e-06,5e-05
0.00019687,2.5221e-12,1.1596e-11,0.12074,1,1.4e-06,0.01,1.4e-06,5e-05
0.00021093,2.7022e-12,1.2424e-11,0.12074,1,1.5e-06,0.01,1.5e-06,5e-05
0.000225,2.8824e-12,1.3253e-11,0.12074,1,1.6e-06,0.01,1.6e-06,5e-05
0.00023906,3.0625e-12,1.4081e-11,0.12074,1,1.7e-06,0.01,1.7e-06,5e-05
0.00025312,3.2427e-12,1.4909e-11,0.12074,1,1.8e-06,0.01,1.8e-06,5e-05
0.00026718,3.4228e-12,1.5738e-11,0.12074,1,1.9e-06,0.01,1.9e-06,5e-05
0.00028125,3.603e-12,1.6566e-11,0.12074,1,2e-06,0.01,2e-06,5e-05
0.00029531,3.7831e-12,1.7394e-11,0.12074,1,2.1e-06,0.01,2.1e-06,5e-05
0.00030937,3.9633e-12,1.8222e-11,0.12074,1,2.2e-06,0.01,2.2e-06,5e-05
0.00032343,4.1434e-12,1.9051e-11,0.12074,1,2.3e-06,0.01,2.3e-06,5e-05
0.00033749,4.3236e-12,1.9879e-11,0.12074,1,2.4e-06,0.01,2.4e-06,5e-05
0.00035156,4.5037e-12,2.0707e-11,0.12074,1,2.5e-06,0.01,2.5e-06,5e-05
0.00036562,4.6838e-12,2.1536e-11,0.12074,1,2.6e-06,0.01,2.6e-06,5e-05
0.00037968,4.864e-12,2.2364e-11,0.12074,1,2.7e-06,0.01,2.7e-06,5e-05
0.00039374,5.0441e-12,2.3192e-11,0.12074,1,2.8e-06,0.01,2.8e-06,5e-05
0.00040781,5.2243e-12,2.402e-11,0.12074,1,2.9e-06,0.01,2.9e-06,5e-05
0.00042187,5.4044e-12,2.4849e-11,0.12074,1,3e-06,0.01,3e-06,5e-05
0.00043593,5.5846e-12,2.5677e-11,0.12074,1,3.1e-06,0.01,3.1e-06,5e-05
0.00044999,5.7647e-12,2.6505e-11,0.12074,1,3.2e-06,0.01,3.2e-06,5e-05
0.00046405,5.9449e-12,2.7334e-11,0.12074,1,3.3e-06,0.01,3.3e-06,5e-05
0.00047812,6.125e-12,2.8162e-11,0.12074,1,3.4e-06,0.01,3.4e-06,5e-05
0.00049218,6.3052e-12,2.899e-11,0.12074,1,3.5e-06,0.01,3.5e-06,5e-05
0.00050624,6.4853e-12,2.9818e-11,0.12074,1,3.6e-06,0.01,3.6e-06,5e-05
0.0005203,6.6655e-12,3.0647e-11,0.12074,1,3.7e-06,0.01,3.7e-06,5e-05
0.00053437,6.8456e-12,3.1475e-11,0.12074,1,3.8e-06,0.01,3.8e-06,5e-05
0.00054843,7.0258e-12,3.2303e-11,0.12074,1,3.9e-06,0.01,3.9e-06,5e-05
0.00056249,7.2059e-12,3.3132e-11,0.12074,1,4e-06,0.01,4e-06,5e-05
0.00057655,7.3861e-12,3.396e-11,0.12074,1,4.1e-06,0.01,4.1e-06,5e-05
0.00059062,7.5662e-12,3.4788e-11,0.12074,1,4.2e-06,0.01,4.2e-06,5e-05
0.00060468,7.7464e-12,3.5616e-11,0.12074,1,4.3e-06,0.01,4.3e-06,5e-05
0.00061874,7.9265e-12,3.6445e-11,0.12074,1,4.4e-06,0.01,4.4e-06,5e-05
0.0006328,8.1067e-12,3.7273e-11,0.12074,1,4.5e-06,0.01,4.5e-06,5e-05
